Blocks: '[0:86:2:3, 4:87:-37:1, 0:87:2:3, 4:88:-37:1, -37:88:-4:1, 0:88:2:3, 38:88:4:1,
  1:100:-39:44, 2:100:-39:5:1, 3:100:-39:2, 4:100:-39:2, 5:100:-39:2, 6:100:-39:5:1,
  -1:100:-38:44, 2:100:-38:5:1, 3:100:-38:2, 4:100:-38:3, 5:100:-38:2, 6:100:-38:5:1,
  2:100:-37:5:1, 3:100:-37:2, 4:100:-37:2, 5:100:-37:2, 6:100:-37:5:1, 3:100:-36:5:1,
  4:100:-36:5:1, 5:100:-36:5:1, -39:100:-6:5:1, -38:100:-6:5:1, -37:100:-6:5:1, -41:100:-5:44:8,
  -40:100:-5:5:1, -39:100:-5:2, -38:100:-5:2, -37:100:-5:2, -36:100:-5:5:1, 1:100:-5:18,
  2:100:-5:18, 3:100:-5:18, -41:100:-4:44:8, -40:100:-4:5:1, -39:100:-4:2, -38:100:-4:3,
  -37:100:-4:2, -36:100:-4:5:1, -1:100:-4:18, 0:100:-4:18, 1:100:-4:18, 2:100:-4:18,
  3:100:-4:18, 4:100:-4:18, -41:100:-3:44:8, -40:100:-3:5:1, -39:100:-3:2, -38:100:-3:2,
  -37:100:-3:2, -36:100:-3:5:1, -2:100:-3:18, -1:100:-3:18, 0:100:-3:18, 1:100:-3:18,
  2:100:-3:18, 3:100:-3:18, 4:100:-3:18, -41:100:-2:44:8, -40:100:-2:44:8, -39:100:-2:5:1,
  -38:100:-2:5:1, -37:100:-2:5:1, -2:100:-2:18, -1:100:-2:18, 0:100:-2:18, 1:100:-2:18,
  2:100:-2:18, 3:100:-2:18, 4:100:-2:18, -41:100:-1:44:8, -40:100:-1:44:8, -39:100:-1:44,
  -2:100:-1:18, -1:100:-1:18, 0:100:-1:17:8, 1:100:-1:17:4, 2:100:-1:18, 3:100:-1:18,
  38:100:-1:44, 39:100:-1:44, -40:100:0:44:8, -39:100:0:44, -1:100:0:18, 0:100:0:17,
  1:100:0:18, 2:100:0:18, 3:100:0:18, 4:100:0:18, 5:100:0:18, 39:100:0:44, 40:100:0:44:8,
  -39:100:1:44, -38:100:1:44, 0:100:1:18, 1:100:1:17:4, 2:100:1:18, 3:100:1:18, 4:100:1:18,
  5:100:1:18, 6:100:1:18, 39:100:1:44, 40:100:1:44:8, 0:100:2:18, 1:100:2:18, 2:100:2:17:4,
  3:100:2:18, 4:100:2:18, 5:100:2:18, 6:100:2:18, 37:100:2:5:1, 38:100:2:5:1, 39:100:2:5:1,
  40:100:2:44:8, 41:100:2:44:8, 1:100:3:18, 2:100:3:18, 3:100:3:18, 4:100:3:18, 5:100:3:18,
  6:100:3:18, 36:100:3:5:1, 37:100:3:2, 38:100:3:2, 39:100:3:2, 40:100:3:5:1, 41:100:3:44:8,
  3:100:4:18, 4:100:4:18, 5:100:4:18, 36:100:4:5:1, 37:100:4:2, 38:100:4:3, 39:100:4:2,
  40:100:4:5:1, 41:100:4:44:8, 36:100:5:5:1, 37:100:5:2, 38:100:5:2, 39:100:5:2, 40:100:5:5:1,
  41:100:5:44:8, 37:100:6:5:1, 38:100:6:5:1, 39:100:6:5:1, 0:100:37:44, 1:100:37:44,
  1:100:38:44, 2:100:38:44:8, 1:100:39:44, 2:100:39:44:8, 3:100:39:44:8, -1:100:40:5:1,
  0:100:40:5:1, 1:100:40:5:1, 2:100:40:44:8, 3:100:40:44:8, -2:100:41:5:1, -1:100:41:2,
  0:100:41:2, 1:100:41:2, 2:100:41:5:1, 3:100:41:44:8, -2:100:42:5:1, -1:100:42:2,
  0:100:42:3, 1:100:42:2, 2:100:42:5:1, 3:100:42:44:8, -2:100:43:5:1, -1:100:43:2,
  0:100:43:2, 1:100:43:2, 2:100:43:5:1, 3:100:43:44:8, -1:100:44:5:1, 0:100:44:5:1,
  1:100:44:5:1, 4:101:-38:17, 1:101:-5:18, 2:101:-5:18, 3:101:-5:18, -38:101:-4:17,
  0:101:-4:18, 1:101:-4:18, 2:101:-4:18, 3:101:-4:18, 4:101:-4:18, -1:101:-3:18, 0:101:-3:18,
  1:101:-3:18, 2:101:-3:18, 3:101:-3:18, 4:101:-3:18, -2:101:-2:18, -1:101:-2:18,
  0:101:-2:18, 1:101:-2:18, 2:101:-2:17:4, 3:101:-2:18, 4:101:-2:18, -2:101:-1:18,
  -1:101:-1:18, 0:101:-1:18, 1:101:-1:18, 2:101:-1:18, 3:101:-1:18, -2:101:0:18, -1:101:0:18,
  0:101:0:17, 1:101:0:18, 2:101:0:18, 3:101:0:18, 4:101:0:18, -1:101:1:18, 0:101:1:18,
  1:101:1:18, 2:101:1:18, 3:101:1:18, 4:101:1:18, 0:101:2:18, 1:101:2:18, 2:101:2:18,
  3:101:2:18, 4:101:2:18, 5:101:2:18, 0:101:3:18, 1:101:3:18, 2:101:3:18, 3:101:3:17:4,
  4:101:3:18, 1:101:4:18, 2:101:4:18, 3:101:4:18, 38:101:4:17, 0:101:42:17, 4:102:-38:17,
  -38:102:-4:17, 1:102:-4:18, 2:102:-4:18, 3:102:-4:18, -1:102:-3:18, 0:102:-3:18,
  1:102:-3:18, 2:102:-3:18, 3:102:-3:18, 4:102:-3:18, -2:102:-2:18, -1:102:-2:18,
  0:102:-2:18, 1:102:-2:18, 2:102:-2:18, 3:102:-2:18, 4:102:-2:18, -2:102:-1:18, -1:102:-1:18,
  0:102:-1:18, 1:102:-1:18, 2:102:-1:18, 3:102:-1:18, 4:102:-1:18, -2:102:0:18, -1:102:0:18,
  0:102:0:17, 1:102:0:18, 2:102:0:18, 3:102:0:18, -1:102:1:18, 0:102:1:18, 1:102:1:18,
  2:102:1:18, 3:102:1:18, 4:102:1:18, 0:102:2:18, 1:102:2:18, 2:102:2:18, 3:102:2:18,
  4:102:2:18, 5:102:2:18, 0:102:3:18, 1:102:3:18, 2:102:3:18, 3:102:3:18, 4:102:3:18,
  5:102:3:18, 1:102:4:18, 2:102:4:18, 3:102:4:18, 4:102:4:18, 5:102:4:18, 38:102:4:17,
  2:102:5:18, 3:102:5:18, 4:102:5:18, 0:102:42:17, 4:103:-38:17, -38:103:-4:17, 1:103:-4:18,
  2:103:-4:18, 3:103:-4:18, 0:103:-3:18, 1:103:-3:18, 2:103:-3:18, 3:103:-3:18, 4:103:-3:18,
  -1:103:-2:18, 0:103:-2:18, 1:103:-2:18, 2:103:-2:18, 3:103:-2:18, 4:103:-2:18, -2:103:-1:18,
  -1:103:-1:18, 0:103:-1:18, 1:103:-1:18, 2:103:-1:18, 3:103:-1:18, 4:103:-1:18, -2:103:0:18,
  -1:103:0:18, 0:103:0:18, 1:103:0:18, 2:103:0:18, 3:103:0:18, -2:103:1:18, -1:103:1:18,
  0:103:1:18, 1:103:1:18, 2:103:1:18, 3:103:1:18, 4:103:1:18, -1:103:2:18, 0:103:2:18,
  1:103:2:18, 2:103:2:18, 3:103:2:18, 4:103:2:18, 5:103:2:18, 1:103:3:18, 2:103:3:18,
  3:103:3:18, 4:103:3:18, 5:103:3:18, 1:103:4:18, 2:103:4:18, 3:103:4:18, 4:103:4:18,
  5:103:4:18, 38:103:4:17, 2:103:5:18, 3:103:5:18, 4:103:5:18, 0:103:42:17, 3:104:-40:18:4,
  4:104:-40:18:4, 5:104:-40:18:4, 2:104:-39:18:4, 3:104:-39:18:4, 4:104:-39:18:4,
  5:104:-39:18:4, 6:104:-39:18:4, 2:104:-38:18:12, 3:104:-38:18:12, 4:104:-38:17,
  5:104:-38:18:4, 6:104:-38:18:4, 2:104:-37:18:4, 3:104:-37:18:4, 4:104:-37:18:4,
  5:104:-37:18:4, 6:104:-37:18:4, 3:104:-36:18:4, 4:104:-36:18:4, 5:104:-36:18:4,
  -39:104:-6:18:4, -38:104:-6:18:4, -37:104:-6:18:12, -40:104:-5:18:4, -39:104:-5:18:4,
  -38:104:-5:18:12, -37:104:-5:18:12, -36:104:-5:18:4, -40:104:-4:18:4, -39:104:-4:18:4,
  -38:104:-4:17, -37:104:-4:18:12, -36:104:-4:18:12, -40:104:-3:18:4, -39:104:-3:18:4,
  -38:104:-3:18:4, -37:104:-3:18:4, -36:104:-3:18:4, 2:104:-3:18, -39:104:-2:18:4,
  -38:104:-2:18:4, -37:104:-2:18:4, -1:104:-2:18, 0:104:-2:18, 1:104:-2:18, 2:104:-2:18,
  3:104:-2:18, -2:104:-1:18, -1:104:-1:18, 0:104:-1:18, 1:104:-1:18, 2:104:-1:18,
  -2:104:0:18, -1:104:0:18, 0:104:0:18, 1:104:0:18, 2:104:0:18, -2:104:1:18, -1:104:1:18,
  0:104:1:18, 1:104:1:18, 2:104:1:18, -1:104:2:18, 0:104:2:18, 1:104:2:18, 3:104:2:18,
  37:104:2:18:4, 38:104:2:18:4, 39:104:2:18:4, 2:104:3:18, 3:104:3:18, 4:104:3:18,
  36:104:3:18:4, 37:104:3:18:4, 38:104:3:18:4, 39:104:3:18:4, 40:104:3:18:4, 3:104:4:18,
  36:104:4:18:4, 37:104:4:18:4, 38:104:4:17, 39:104:4:18:4, 40:104:4:18:4, 36:104:5:18:4,
  37:104:5:18:4, 38:104:5:18:4, 39:104:5:18:4, 40:104:5:18:4, 37:104:6:18:4, 38:104:6:18:4,
  39:104:6:18:4, -1:104:40:18:4, 0:104:40:18:4, 1:104:40:18:4, -2:104:41:18:4, -1:104:41:18:4,
  0:104:41:18:4, 1:104:41:18:4, 2:104:41:18:4, -2:104:42:18:12, -1:104:42:18:12, 0:104:42:17,
  1:104:42:18:4, 2:104:42:18:4, -2:104:43:18:4, -1:104:43:18:12, 0:104:43:18:4, 1:104:43:18:4,
  2:104:43:18:4, -1:104:44:18:4, 0:104:44:18:4, 1:104:44:18:4, 3:105:-40:18:12, 4:105:-40:18:4,
  5:105:-40:18:4, 2:105:-39:18:12, 3:105:-39:18:12, 4:105:-39:18:4, 5:105:-39:18:4,
  6:105:-39:18:4, 2:105:-38:18:12, 3:105:-38:18:12, 4:105:-38:17, 5:105:-38:18:4,
  6:105:-38:18:4, 2:105:-37:18:4, 3:105:-37:18:4, 4:105:-37:18:4, 5:105:-37:18:4,
  6:105:-37:18:4, 3:105:-36:18:4, 4:105:-36:18:4, 5:105:-36:18:4, -39:105:-6:18:4,
  -38:105:-6:18:4, -37:105:-6:18:12, -40:105:-5:18:4, -39:105:-5:18:4, -38:105:-5:18:12,
  -37:105:-5:18:12, -36:105:-5:18:4, -40:105:-4:18:4, -39:105:-4:18:4, -38:105:-4:17,
  -37:105:-4:18:12, -36:105:-4:18:12, -40:105:-3:18:4, -39:105:-3:18:4, -38:105:-3:18:4,
  -37:105:-3:18:4, -36:105:-3:18:4, -39:105:-2:18:4, -38:105:-2:18:4, -37:105:-2:18:4,
  0:105:-1:18, -1:105:0:18, 0:105:0:18, 1:105:0:18, 0:105:1:18, 37:105:2:18:4, 38:105:2:18:4,
  39:105:2:18:4, 36:105:3:18:4, 37:105:3:18:4, 38:105:3:18:4, 39:105:3:18:4, 40:105:3:18:4,
  36:105:4:18:4, 37:105:4:18:4, 38:105:4:17, 39:105:4:18:4, 40:105:4:18:4, 36:105:5:18:4,
  37:105:5:18:4, 38:105:5:18:4, 39:105:5:18:4, 40:105:5:18:4, 37:105:6:18:4, 38:105:6:18:4,
  39:105:6:18:4, -1:105:40:18:4, 0:105:40:18:4, 1:105:40:18:4, -2:105:41:18:4, -1:105:41:18:4,
  0:105:41:18:12, 1:105:41:18:4, 2:105:41:18:4, -2:105:42:18:12, -1:105:42:18:12,
  0:105:42:17, 1:105:42:18:12, 2:105:42:18:4, -2:105:43:18:4, -1:105:43:18:12, 0:105:43:18:12,
  1:105:43:18:4, 2:105:43:18:4, -1:105:44:18:4, 0:105:44:18:4, 1:105:44:18:4, 3:106:-39:18:4,
  4:106:-39:18:4, 5:106:-39:18:4, 3:106:-38:18:4, 4:106:-38:18:4, 5:106:-38:18:4,
  3:106:-37:18:4, 4:106:-37:18:4, 5:106:-37:18:4, -39:106:-5:18:4, -38:106:-5:18:4,
  -37:106:-5:18:4, -39:106:-4:18:4, -38:106:-4:18:4, -37:106:-4:18:4, -39:106:-3:18:4,
  -38:106:-3:18:4, -37:106:-3:18:4, 37:106:3:18:4, 38:106:3:18:4, 39:106:3:18:4, 37:106:4:18:4,
  38:106:4:18:4, 39:106:4:18:4, 37:106:5:18:4, 38:106:5:18:4, 39:106:5:18:4, -1:106:41:18:4,
  0:106:41:18:4, 1:106:41:18:4, -1:106:42:18:4, 0:106:42:18:4, 1:106:42:18:4, -1:106:43:18:4,
  0:106:43:18:4, 1:106:43:18:4, -2:109:-5:166, -1:109:-5:166, 0:109:-5:166, 1:109:-5:166,
  2:109:-5:166, -3:109:-4:166, -2:109:-4:166, -1:109:-4:166, 0:109:-4:166, 1:109:-4:166,
  2:109:-4:166, 3:109:-4:166, -4:109:-3:166, -3:109:-3:166, -2:109:-3:166, -1:109:-3:166,
  0:109:-3:166, 1:109:-3:166, 2:109:-3:166, 3:109:-3:166, 4:109:-3:166, -5:109:-2:166,
  -4:109:-2:166, -3:109:-2:166, -2:109:-2:166, -1:109:-2:166, 0:109:-2:166, 1:109:-2:166,
  2:109:-2:166, 3:109:-2:166, 4:109:-2:166, 5:109:-2:166, -5:109:-1:166, -4:109:-1:166,
  -3:109:-1:166, -2:109:-1:166, -1:109:-1:166, 0:109:-1:166, 1:109:-1:166, 2:109:-1:166,
  3:109:-1:166, 4:109:-1:166, 5:109:-1:166, -5:109:0:166, -4:109:0:166, -3:109:0:166,
  -2:109:0:166, -1:109:0:166, 0:109:0:166, 1:109:0:166, 2:109:0:166, 3:109:0:166,
  4:109:0:166, 5:109:0:166, -5:109:1:166, -4:109:1:166, -3:109:1:166, -2:109:1:166,
  -1:109:1:166, 0:109:1:166, 1:109:1:166, 2:109:1:166, 3:109:1:166, 4:109:1:166, 5:109:1:166,
  -5:109:2:166, -4:109:2:166, -3:109:2:166, -2:109:2:166, -1:109:2:166, 0:109:2:166,
  1:109:2:166, 2:109:2:166, 3:109:2:166, 4:109:2:166, 5:109:2:166, -4:109:3:166, -3:109:3:166,
  -2:109:3:166, -1:109:3:166, 0:109:3:166, 1:109:3:166, 2:109:3:166, 3:109:3:166,
  4:109:3:166, -3:109:4:166, -2:109:4:166, -1:109:4:166, 0:109:4:166, 1:109:4:166,
  2:109:4:166, 3:109:4:166, -2:109:5:166, -1:109:5:166, 0:109:5:166, 1:109:5:166,
  2:109:5:166, -2:110:-5:166, -1:110:-5:166, 0:110:-5:166, 1:110:-5:166, 2:110:-5:166,
  -3:110:-4:166, 3:110:-4:166, -4:110:-3:166, 4:110:-3:166, -5:110:-2:166, 5:110:-2:166,
  -5:110:-1:166, 5:110:-1:166, -5:110:0:166, 5:110:0:166, -5:110:1:166, 5:110:1:166,
  -5:110:2:166, 5:110:2:166, -4:110:3:166, 4:110:3:166, -3:110:4:166, 3:110:4:166,
  -2:110:5:166, -1:110:5:166, 0:110:5:166, 1:110:5:166, 2:110:5:166, -2:111:-5:166,
  -1:111:-5:166, 0:111:-5:166, 1:111:-5:166, 2:111:-5:166, -3:111:-4:166, 3:111:-4:166,
  -4:111:-3:166, 4:111:-3:166, -5:111:-2:166, 5:111:-2:166, -5:111:-1:166, 5:111:-1:166,
  -5:111:0:166, 5:111:0:166, -5:111:1:166, 5:111:1:166, -5:111:2:166, 5:111:2:166,
  -4:111:3:166, 4:111:3:166, -3:111:4:166, 3:111:4:166, -2:111:5:166, -1:111:5:166,
  0:111:5:166, 1:111:5:166, 2:111:5:166, -2:112:-5:166, -1:112:-5:166, 0:112:-5:166,
  1:112:-5:166, 2:112:-5:166, -3:112:-4:166, 3:112:-4:166, -4:112:-3:166, 4:112:-3:166,
  -5:112:-2:166, 5:112:-2:166, -5:112:-1:166, 5:112:-1:166, -5:112:0:166, 5:112:0:166,
  -5:112:1:166, 5:112:1:166, -5:112:2:166, 5:112:2:166, -4:112:3:166, 4:112:3:166,
  -3:112:4:166, 3:112:4:166, -2:112:5:166, -1:112:5:166, 0:112:5:166, 1:112:5:166,
  2:112:5:166, -2:113:-5:166, -1:113:-5:166, 0:113:-5:166, 1:113:-5:166, 2:113:-5:166,
  -3:113:-4:166, 3:113:-4:166, -4:113:-3:166, 4:113:-3:166, -5:113:-2:166, 5:113:-2:166,
  -5:113:-1:166, 5:113:-1:166, -5:113:0:166, 5:113:0:166, -5:113:1:166, 5:113:1:166,
  -5:113:2:166, 5:113:2:166, -4:113:3:166, 4:113:3:166, -3:113:4:166, 3:113:4:166,
  -2:113:5:166, -1:113:5:166, 0:113:5:166, 1:113:5:166, 2:113:5:166]'
