Blocks: '[-30:65:-20:1:4, -29:65:-20:1:4, -28:65:-20:1:4, -31:65:-19:1:4, -30:65:-19:1:4,
  -29:65:-19:1:4, -28:65:-19:1:4, -27:65:-19:1:4, -32:65:-18:1:4, -31:65:-18:1:4,
  -30:65:-18:1:4, -29:65:-18:1:4, -28:65:-18:1:4, -27:65:-18:1:4, -26:65:-18:1:4,
  -32:65:-17:1:4, -31:65:-17:1:4, -30:65:-17:1:4, -29:65:-17:1:4, -28:65:-17:1:4,
  -27:65:-17:1:4, -26:65:-17:1:4, -32:65:-16:1:4, -31:65:-16:1:4, -30:65:-16:1:4,
  -29:65:-16:1:4, -28:65:-16:1:4, -27:65:-16:1:4, -26:65:-16:1:4, -31:65:-15:1:4,
  -30:65:-15:1:4, -29:65:-15:1:4, -28:65:-15:1:4, -27:65:-15:1:4, -30:65:-14:1:4,
  -30:70:-16:12, -29:70:-16:12, -28:70:-16:12, -27:70:-16:12, -26:70:-16:12, -25:70:-16:12,
  -3:70:-16:3, -2:70:-16:3, -1:70:-16:3, 0:70:-16:3, 1:70:-16:3, 2:70:-16:3, 3:70:-16:3,
  4:70:-16:3, 5:70:-16:3, -33:70:-15:12, -32:70:-15:12, -31:70:-15:12, -30:70:-15:12,
  -29:70:-15:12, -28:70:-15:12, -27:70:-15:12, -26:70:-15:12, -25:70:-15:12, -3:70:-15:3,
  -2:70:-15:3, -1:70:-15:3, 0:70:-15:3, 1:70:-15:3, 2:70:-15:3, 3:70:-15:3, 4:70:-15:3,
  5:70:-15:3, -32:70:-14:12, -31:70:-14:12, -30:70:-14:12, -29:70:-14:12, -28:70:-14:12,
  -27:70:-14:12, -26:70:-14:12, -2:70:-14:3, -1:70:-14:3, 0:70:-14:3, 1:70:-14:3,
  2:70:-14:3, 3:70:-14:3, 4:70:-14:3, -31:70:-13:12, -30:70:-13:12, -29:70:-13:12,
  -28:70:-13:12, -27:70:-13:12, -1:70:-13:3, 0:70:-13:3, 1:70:-13:3, 2:70:-13:3, 3:70:-13:3,
  -29:70:-11:1, 1:70:-11:1, -49:70:-4:1, -48:70:-4:1, -47:70:-4:1, 19:70:-4:1, 20:70:-4:1,
  21:70:-4:1, -50:70:-3:1, -49:70:-3:1, -48:70:-3:1, -47:70:-3:1, -46:70:-3:1, 18:70:-3:1,
  19:70:-3:1, 20:70:-3:1, 21:70:-3:1, 22:70:-3:1, -50:70:-2:1, -49:70:-2:1, -48:70:-2:1,
  -47:70:-2:1, -46:70:-2:1, 18:70:-2:1, 19:70:-2:1, 20:70:-2:1, 21:70:-2:1, 22:70:-2:1,
  -50:70:-1:1, -49:70:-1:1, -48:70:-1:1, -47:70:-1:1, -46:70:-1:1, 18:70:-1:1, 19:70:-1:1,
  20:70:-1:1, 21:70:-1:1, 22:70:-1:1, -49:70:0:1, -48:70:0:1, -47:70:0:1, 19:70:0:1,
  20:70:0:1, 21:70:0:1, -29:70:7:1, 1:70:7:1, -32:70:9:88, -31:70:9:88, -30:70:9:88,
  -29:70:9:87, -28:70:9:87, -27:70:9:87, -26:70:9:87, -2:70:9:121, -1:70:9:121, 0:70:9:121,
  1:70:9:121, 2:70:9:121, 3:70:9:121, 4:70:9:121, -33:70:10:88, -32:70:10:88, -31:70:10:88,
  -26:70:10:87, -25:70:10:87, -3:70:10:121, -2:70:10:121, -1:70:10:121, 0:70:10:121,
  1:70:10:121, 2:70:10:121, 3:70:10:121, 4:70:10:121, 5:70:10:121, -33:70:11:88, -32:70:11:88,
  -31:70:11:88, -28:70:11:11:10, -27:70:11:87, -26:70:11:87, -25:70:11:87, -3:70:11:121,
  -2:70:11:121, -1:70:11:121, 0:70:11:121, 1:70:11:121, 2:70:11:121, 3:70:11:121,
  4:70:11:121, 5:70:11:121, -33:70:12:88, -32:70:12:88, -31:70:12:88, -27:70:12:87,
  -26:70:12:87, -25:70:12:87, -3:70:12:121, -2:70:12:121, -1:70:12:121, 0:70:12:121,
  1:70:12:121, 2:70:12:121, 3:70:12:121, 4:70:12:121, 5:70:12:121, -33:70:13:88, -32:70:13:88,
  -31:70:13:88, -30:70:13:11:10, -28:70:13:87, -26:70:13:87, -25:70:13:87, -23:70:13:1,
  -5:70:13:1, -3:70:13:121, -2:70:13:121, -1:70:13:121, 0:70:13:121, 1:70:13:121,
  2:70:13:121, 3:70:13:121, 4:70:13:121, 5:70:13:121, -33:70:14:88, -32:70:14:88,
  -31:70:14:11:10, -30:70:14:11:2, -28:70:14:153, -27:70:14:153, -26:70:14:87, -25:70:14:87,
  -3:70:14:121, -2:70:14:121, -1:70:14:121, 0:70:14:121, 1:70:14:121, 2:70:14:121,
  3:70:14:121, 4:70:14:121, 5:70:14:121, -33:70:15:88, -32:70:15:88, -31:70:15:11:2,
  -28:70:15:87, -27:70:15:87, -26:70:15:87, -25:70:15:87, -3:70:15:121, -2:70:15:121,
  -1:70:15:121, 0:70:15:121, 1:70:15:121, 2:70:15:121, 3:70:15:121, 4:70:15:121, 5:70:15:121,
  -33:70:16:88, -32:70:16:88, -31:70:16:11:10, -29:70:16:87, -28:70:16:87, -27:70:16:87,
  -26:70:16:87, -25:70:16:87, -3:70:16:121, -2:70:16:121, -1:70:16:121, 0:70:16:121,
  1:70:16:121, 2:70:16:121, 3:70:16:121, 4:70:16:121, 5:70:16:121, -32:70:17:88, -31:70:17:87,
  -30:70:17:87, -29:70:17:87, -28:70:17:87, -27:70:17:87, -26:70:17:87, -2:70:17:121,
  -1:70:17:121, 0:70:17:121, 1:70:17:121, 2:70:17:121, 3:70:17:121, 4:70:17:121, -15:70:30:1,
  -14:70:30:1, -13:70:30:1, -16:70:31:1, -15:70:31:1, -14:70:31:1, -13:70:31:1, -12:70:31:1,
  -16:70:32:1, -15:70:32:1, -14:70:32:1, -13:70:32:1, -12:70:32:1, -16:70:33:1, -15:70:33:1,
  -14:70:33:1, -13:70:33:1, -12:70:33:1, -15:70:34:1, -14:70:34:1, -13:70:34:1, -15:71:-38:3,
  -14:71:-38:3, -13:71:-38:3, -16:71:-37:3, -15:71:-37:3, -14:71:-37:3, -13:71:-37:3,
  -12:71:-37:3, -16:71:-36:3, -15:71:-36:3, -14:71:-36:17, -13:71:-36:3, -12:71:-36:3,
  -16:71:-35:3, -15:71:-35:3, -14:71:-35:3, -13:71:-35:3, -12:71:-35:3, -15:71:-34:3,
  -14:71:-34:3, -13:71:-34:3, -32:71:-22:1, -31:71:-22:1, -30:71:-22:1, -29:71:-22:1,
  -28:71:-22:1, -27:71:-22:1, -26:71:-22:1, -2:71:-22:1, -1:71:-22:1, 0:71:-22:1,
  1:71:-22:1, 2:71:-22:1, 3:71:-22:1, 4:71:-22:1, -33:71:-21:1, -32:71:-21:1, -31:71:-21:12,
  -30:71:-21:12, -29:71:-21:12, -28:71:-21:12, -27:71:-21:12, -26:71:-21:1, -25:71:-21:1,
  -3:71:-21:1, -2:71:-21:1, -1:71:-21:2, 0:71:-21:2, 1:71:-21:2, 2:71:-21:2, 3:71:-21:2,
  4:71:-21:1, 5:71:-21:1, -34:71:-20:1, -33:71:-20:1, -32:71:-20:12, -31:71:-20:12,
  -30:71:-20:12, -29:71:-20:12, -28:71:-20:12, -27:71:-20:12, -26:71:-20:12, -25:71:-20:1,
  -24:71:-20:1, -4:71:-20:1, -3:71:-20:1, -2:71:-20:2, -1:71:-20:2, 0:71:-20:2, 1:71:-20:2,
  2:71:-20:2, 3:71:-20:2, 4:71:-20:2, 5:71:-20:1, 6:71:-20:1, -34:71:-19:1, -33:71:-19:12,
  -32:71:-19:12, -31:71:-19:12, -30:71:-19:12, -29:71:-19:12, -28:71:-19:12, -27:71:-19:12,
  -26:71:-19:12, -25:71:-19:12, -24:71:-19:1, -4:71:-19:1, -3:71:-19:2, -2:71:-19:2,
  -1:71:-19:2, 0:71:-19:2, 1:71:-19:2, 2:71:-19:2, 3:71:-19:2, 4:71:-19:2, 5:71:-19:2,
  6:71:-19:1, -34:71:-18:1, -33:71:-18:12, -32:71:-18:12, -31:71:-18:12, -30:71:-18:12,
  -29:71:-18:12, -28:71:-18:12, -27:71:-18:12, -26:71:-18:12, -25:71:-18:12, -24:71:-18:1,
  -23:71:-18:1, -5:71:-18:1, -4:71:-18:1, -3:71:-18:2, -2:71:-18:2, -1:71:-18:2, 0:71:-18:2,
  1:71:-18:2, 2:71:-18:2, 3:71:-18:2, 4:71:-18:2, 5:71:-18:2, 6:71:-18:1, -34:71:-17:1,
  -33:71:-17:12, -32:71:-17:12, -31:71:-17:12, -30:71:-17:12, -29:71:-17:12, -28:71:-17:12,
  -27:71:-17:12, -26:71:-17:12, -25:71:-17:12, -24:71:-17:1, -23:71:-17:1, -5:71:-17:1,
  -4:71:-17:1, -3:71:-17:2, -2:71:-17:2, -1:71:-17:2, 0:71:-17:2, 1:71:-17:3, 2:71:-17:2,
  3:71:-17:2, 4:71:-17:2, 5:71:-17:2, 6:71:-17:1, -34:71:-16:1, -33:71:-16:12, -32:71:-16:12,
  -31:71:-16:12, -30:71:-16:12, -29:71:-16:12, -28:71:-16:12, -27:71:-16:12, -26:71:-16:12,
  -25:71:-16:12, -24:71:-16:1, -23:71:-16:1, -5:71:-16:1, -4:71:-16:1, -3:71:-16:2,
  -2:71:-16:2, -1:71:-16:2, 0:71:-16:2, 1:71:-16:2, 2:71:-16:2, 3:71:-16:2, 4:71:-16:2,
  5:71:-16:2, 6:71:-16:1, -34:71:-15:1, -33:71:-15:12, -32:71:-15:12, -31:71:-15:12,
  -30:71:-15:12, -29:71:-15:12, -28:71:-15:12, -27:71:-15:12, -26:71:-15:12, -25:71:-15:12,
  -24:71:-15:1, -4:71:-15:1, -3:71:-15:2, -2:71:-15:2, -1:71:-15:2, 0:71:-15:2, 1:71:-15:2,
  2:71:-15:2, 3:71:-15:2, 4:71:-15:2, 5:71:-15:2, 6:71:-15:1, -34:71:-14:1, -33:71:-14:1,
  -32:71:-14:12, -31:71:-14:12, -30:71:-14:12, -29:71:-14:12, -28:71:-14:12, -27:71:-14:12,
  -26:71:-14:12, -25:71:-14:1, -24:71:-14:1, -4:71:-14:1, -3:71:-14:1, -2:71:-14:2,
  -1:71:-14:2, 0:71:-14:2, 1:71:-14:2, 2:71:-14:2, 3:71:-14:2, 4:71:-14:2, 5:71:-14:1,
  6:71:-14:1, -33:71:-13:1, -32:71:-13:1, -31:71:-13:12, -30:71:-13:12, -29:71:-13:12,
  -28:71:-13:12, -27:71:-13:12, -26:71:-13:1, -25:71:-13:1, -3:71:-13:1, -2:71:-13:1,
  -1:71:-13:2, 0:71:-13:2, 1:71:-13:2, 2:71:-13:2, 3:71:-13:2, 4:71:-13:1, 5:71:-13:1,
  -32:71:-12:1, -31:71:-12:1, -30:71:-12:1, -29:71:-12:1, -28:71:-12:1, -27:71:-12:1,
  -26:71:-12:1, -2:71:-12:1, -1:71:-12:1, 0:71:-12:1, 1:71:-12:1, 2:71:-12:1, 3:71:-12:1,
  4:71:-12:1, -30:71:-11:1, -29:71:-11:1, -28:71:-11:1, 0:71:-11:1, 1:71:-11:1, 2:71:-11:1,
  -49:71:-4:3, -48:71:-4:3, -47:71:-4:3, 19:71:-4:3, 20:71:-4:3, 21:71:-4:3, -50:71:-3:3,
  -49:71:-3:3, -48:71:-3:3, -47:71:-3:3, -46:71:-3:3, 18:71:-3:3, 19:71:-3:3, 20:71:-3:3,
  21:71:-3:3, 22:71:-3:3, -50:71:-2:3, -49:71:-2:3, -48:71:-2:17, -47:71:-2:3, -46:71:-2:3,
  18:71:-2:3, 19:71:-2:3, 20:71:-2:17, 21:71:-2:3, 22:71:-2:3, -50:71:-1:3, -49:71:-1:3,
  -48:71:-1:3, -47:71:-1:3, -46:71:-1:3, 18:71:-1:3, 19:71:-1:3, 20:71:-1:3, 21:71:-1:3,
  22:71:-1:3, -49:71:0:3, -48:71:0:3, -47:71:0:3, 19:71:0:3, 20:71:0:3, 21:71:0:3,
  -30:71:7:1, -29:71:7:1, -28:71:7:1, 0:71:7:1, 1:71:7:1, 2:71:7:1, -32:71:8:1, -31:71:8:1,
  -30:71:8:1, -29:71:8:1, -28:71:8:1, -27:71:8:1, -26:71:8:1, -2:71:8:1, -1:71:8:1,
  0:71:8:1, 1:71:8:1, 2:71:8:1, 3:71:8:1, 4:71:8:1, -33:71:9:1, -32:71:9:88, -31:71:9:88,
  -25:71:9:1, -3:71:9:1, -2:71:9:121, -1:71:9:121, 0:71:9:121, 1:71:9:121, 2:71:9:121,
  3:71:9:121, 4:71:9:121, 5:71:9:1, -34:71:10:1, -33:71:10:88, -32:71:10:88, -24:71:10:1,
  -4:71:10:1, -3:71:10:121, -2:71:10:121, -1:71:10:121, 0:71:10:121, 1:71:10:121,
  2:71:10:121, 3:71:10:121, 4:71:10:121, 5:71:10:121, 6:71:10:1, -34:71:11:1, -33:71:11:88,
  -32:71:11:88, -28:71:11:11:10, -25:71:11:87, -24:71:11:1, -4:71:11:1, -3:71:11:121,
  -2:71:11:121, -1:71:11:121, 0:71:11:121, 1:71:11:121, 2:71:11:121, 3:71:11:121,
  4:71:11:121, 5:71:11:121, 6:71:11:1, -34:71:12:1, -33:71:12:88, -25:71:12:87, -24:71:12:1,
  -23:71:12:1, -5:71:12:1, -4:71:12:1, -3:71:12:121, -2:71:12:121, -1:71:12:121, 0:71:12:121,
  1:71:12:121, 2:71:12:121, 3:71:12:121, 4:71:12:121, 5:71:12:121, 6:71:12:1, -34:71:13:1,
  -33:71:13:88, -31:71:13:11:10, -30:71:13:11:2, -28:71:13:87, -26:71:13:87, -25:71:13:87,
  -24:71:13:1, -23:71:13:1, -22:71:13:44:8, -5:71:13:1, -4:71:13:1, -3:71:13:121,
  -2:71:13:121, -1:71:13:121, 0:71:13:121, 1:71:13:121, 2:71:13:121, 3:71:13:121,
  4:71:13:121, 5:71:13:121, 6:71:13:1, -34:71:14:1, -33:71:14:88, -31:71:14:11:2,
  -26:71:14:87, -25:71:14:87, -24:71:14:1, -23:71:14:1, -5:71:14:1, -4:71:14:1, -3:71:14:121,
  -2:71:14:121, -1:71:14:121, 0:71:14:121, 1:71:14:121, 2:71:14:121, 3:71:14:121,
  4:71:14:121, 5:71:14:121, 6:71:14:1, -34:71:15:1, -26:71:15:87, -25:71:15:87, -24:71:15:1,
  -4:71:15:1, -3:71:15:121, -2:71:15:121, -1:71:15:121, 0:71:15:121, 1:71:15:121,
  2:71:15:121, 3:71:15:121, 4:71:15:121, 5:71:15:121, 6:71:15:1, -34:71:16:1, -31:71:16:11:2,
  -26:71:16:87, -25:71:16:87, -24:71:16:1, -4:71:16:1, -3:71:16:121, -2:71:16:121,
  -1:71:16:121, 0:71:16:121, 1:71:16:121, 2:71:16:121, 3:71:16:121, 4:71:16:121, 5:71:16:121,
  6:71:16:1, -33:71:17:1, -32:71:17:87, -31:71:17:11, -30:71:17:87, -26:71:17:87,
  -25:71:17:1, -3:71:17:1, -2:71:17:121, -1:71:17:121, 0:71:17:121, 1:71:17:121, 2:71:17:121,
  3:71:17:121, 4:71:17:121, 5:71:17:1, -32:71:18:1, -31:71:18:1, -30:71:18:1, -29:71:18:1,
  -28:71:18:1, -27:71:18:1, -26:71:18:1, -2:71:18:1, -1:71:18:1, 0:71:18:1, 1:71:18:1,
  2:71:18:1, 3:71:18:1, 4:71:18:1, -15:71:30:3, -14:71:30:3, -13:71:30:3, -16:71:31:3,
  -15:71:31:3, -14:71:31:3, -13:71:31:3, -12:71:31:3, -16:71:32:3, -15:71:32:3, -14:71:32:17,
  -13:71:32:3, -12:71:32:3, -16:71:33:3, -15:71:33:3, -14:71:33:3, -13:71:33:3, -12:71:33:3,
  -15:71:34:3, -14:71:34:3, -13:71:34:3, -15:72:-38:3, -14:72:-38:3, -13:72:-38:3,
  -16:72:-37:3, -15:72:-37:3, -14:72:-37:3, -13:72:-37:3, -12:72:-37:3, -16:72:-36:3,
  -15:72:-36:3, -14:72:-36:17, -13:72:-36:3, -12:72:-36:3, -16:72:-35:3, -15:72:-35:3,
  -14:72:-35:3, -13:72:-35:3, -12:72:-35:3, -15:72:-34:3, -14:72:-34:3, -13:72:-34:3,
  -32:72:-23:20, -31:72:-23:20, -30:72:-23:20, -29:72:-23:1, -28:72:-23:20, -27:72:-23:20,
  -26:72:-23:20, -2:72:-23:20, -1:72:-23:20, 0:72:-23:20, 1:72:-23:1, 2:72:-23:20,
  3:72:-23:20, 4:72:-23:20, -34:72:-22:1, -33:72:-22:1, -32:72:-22:9, -31:72:-22:9,
  -30:72:-22:9, -29:72:-22:9, -28:72:-22:9, -27:72:-22:9, -26:72:-22:9, -25:72:-22:1,
  -24:72:-22:1, -4:72:-22:1, -3:72:-22:1, 5:72:-22:1, 6:72:-22:1, -34:72:-21:1, -33:72:-21:9,
  -32:72:-21:9, -31:72:-21:9, -30:72:-21:9, -29:72:-21:9, -28:72:-21:9, -27:72:-21:9,
  -26:72:-21:9, -25:72:-21:9, -24:72:-21:1, -4:72:-21:1, 1:72:-21:31:1, 2:72:-21:31:1,
  6:72:-21:1, -35:72:-20:20, -34:72:-20:9, -33:72:-20:9, -32:72:-20:9, -31:72:-20:9,
  -30:72:-20:12, -29:72:-20:12, -28:72:-20:9, -27:72:-20:9, -26:72:-20:9, -25:72:-20:9,
  -24:72:-20:9, -23:72:-20:20, -5:72:-20:20, -1:72:-20:31:1, 0:72:-20:31:1, 1:72:-20:31:1,
  2:72:-20:31:1, 3:72:-20:38:1, 7:72:-20:20, -35:72:-19:20, -34:72:-19:9, -33:72:-19:9,
  -32:72:-19:9, -31:72:-19:12, -30:72:-19:12, -29:72:-19:12, -28:72:-19:12, -27:72:-19:12,
  -26:72:-19:9, -25:72:-19:9, -24:72:-19:9, -23:72:-19:1, -5:72:-19:1, -3:72:-19:31:1,
  -2:72:-19:31:1, -1:72:-19:31:1, 1:72:-19:31:1, 2:72:-19:31:1, 4:72:-19:31:1, 5:72:-19:31:1,
  7:72:-19:20, -35:72:-18:20, -34:72:-18:9, -33:72:-18:9, -32:72:-18:9, -31:72:-18:12,
  -30:72:-18:12, -29:72:-18:12, -28:72:-18:12, -27:72:-18:12, -26:72:-18:9, -25:72:-18:9,
  -24:72:-18:9, -23:72:-18:107:7, -22:72:-18:44, -21:72:-18:44, -20:72:-18:44, -19:72:-18:44:8,
  -18:72:-18:44:8, -17:72:-18:44:8, -11:72:-18:44:8, -10:72:-18:44:8, -9:72:-18:44:8,
  -8:72:-18:44, -7:72:-18:44, -6:72:-18:44, -2:72:-18:31:1, -1:72:-18:31:1, 0:72:-18:31:1,
  1:72:-18:31:1, 2:72:-18:31:1, 3:72:-18:31:1, 4:72:-18:31:1, 7:72:-18:20, -35:72:-17:1,
  -34:72:-17:9, -33:72:-17:9, -31:72:-17:12, -30:72:-17:12, -29:72:-17:12, -28:72:-17:12,
  -27:72:-17:9, -26:72:-17:9, -25:72:-17:9, -24:72:-17:9, -23:72:-17:107:7, -22:72:-17:44,
  -21:72:-17:44, -20:72:-17:44, -19:72:-17:43, -18:72:-17:44:8, -17:72:-17:44:8, -16:72:-17:44:8,
  -12:72:-17:44:8, -11:72:-17:44:8, -10:72:-17:44:8, -9:72:-17:43, -8:72:-17:44, -7:72:-17:44,
  -6:72:-17:44, -3:72:-17:31:1, -2:72:-17:31:1, -1:72:-17:31:1, 0:72:-17:31:1, 1:72:-17:17,
  2:72:-17:31:1, 3:72:-17:31:1, 4:72:-17:31:1, 7:72:-17:1, -35:72:-16:20, -34:72:-16:9,
  -33:72:-16:9, -32:72:-16:12, -31:72:-16:12, -30:72:-16:12, -29:72:-16:9, -28:72:-16:9,
  -27:72:-16:9, -26:72:-16:9, -25:72:-16:9, -24:72:-16:9, -23:72:-16:107:7, -22:72:-16:44,
  -21:72:-16:44, -20:72:-16:44, -19:72:-16:44:8, -18:72:-16:44:8, -17:72:-16:44:8,
  -11:72:-16:44:8, -10:72:-16:44:8, -9:72:-16:44:8, -8:72:-16:44, -7:72:-16:44, -6:72:-16:44,
  -3:72:-16:38:1, -2:72:-16:31:1, -1:72:-16:31:1, 0:72:-16:38:1, 1:72:-16:31:1, 2:72:-16:31:1,
  3:72:-16:31:1, 4:72:-16:31:1, 7:72:-16:20, -35:72:-15:20, -34:72:-15:9, -33:72:-15:9,
  -32:72:-15:12, -31:72:-15:12, -30:72:-15:12, -29:72:-15:9, -28:72:-15:9, -27:72:-15:9,
  -26:72:-15:9, -25:72:-15:9, -24:72:-15:9, -23:72:-15:1, -5:72:-15:1, -1:72:-15:31:1,
  0:72:-15:31:1, 1:72:-15:31:1, 2:72:-15:31:1, 3:72:-15:31:1, 4:72:-15:31:1, 7:72:-15:20,
  -35:72:-14:20, -34:72:-14:9, -33:72:-14:9, -32:72:-14:12, -31:72:-14:12, -30:72:-14:12,
  -29:72:-14:9, -28:72:-14:9, -27:72:-14:9, -26:72:-14:9, -25:72:-14:9, -24:72:-14:9,
  -23:72:-14:20, -5:72:-14:20, 0:72:-14:31:1, 1:72:-14:38:1, 2:72:-14:31:1, 7:72:-14:20,
  -34:72:-13:1, -33:72:-13:9, -32:72:-13:9, -31:72:-13:9, -30:72:-13:12, -29:72:-13:9,
  -28:72:-13:9, -27:72:-13:9, -26:72:-13:9, -25:72:-13:9, -24:72:-13:1, -4:72:-13:1,
  -1:72:-13:31:1, 1:72:-13:31:1, 2:72:-13:38:1, 6:72:-13:1, -34:72:-12:1, -33:72:-12:1,
  -32:72:-12:9, -31:72:-12:9, -30:72:-12:9, -29:72:-12:9, -28:72:-12:9, -27:72:-12:9,
  -26:72:-12:9, -25:72:-12:1, -24:72:-12:1, -4:72:-12:1, -3:72:-12:1, 5:72:-12:1,
  6:72:-12:1, -32:72:-11:20, -31:72:-11:1, -30:72:-11:107:4, -29:72:-11:107:4, -28:72:-11:107:4,
  -27:72:-11:1, -26:72:-11:20, -2:72:-11:20, -1:72:-11:1, 3:72:-11:1, 4:72:-11:20,
  -30:72:-10:44, -29:72:-10:44, -28:72:-10:44, 0:72:-10:44, 1:72:-10:44, 2:72:-10:44,
  -30:72:-9:44, -29:72:-9:44, -28:72:-9:44, 0:72:-9:44, 1:72:-9:44, 2:72:-9:44, -30:72:-8:44,
  -29:72:-8:44, -28:72:-8:44, 0:72:-8:44, 1:72:-8:44, 2:72:-8:44, -30:72:-7:44:8,
  -29:72:-7:43, -28:72:-7:44:8, 0:72:-7:44:8, 1:72:-7:43, 2:72:-7:44:8, -30:72:-6:44:8,
  -29:72:-6:44:8, -28:72:-6:44:8, 0:72:-6:44:8, 1:72:-6:44:8, 2:72:-6:44:8, -30:72:-5:44:8,
  -29:72:-5:44:8, -28:72:-5:44:8, 0:72:-5:44:8, 1:72:-5:44:8, 2:72:-5:44:8, -49:72:-4:3,
  -48:72:-4:3, -47:72:-4:3, -29:72:-4:44:8, 1:72:-4:44:8, 19:72:-4:3, 20:72:-4:3,
  21:72:-4:3, -50:72:-3:3, -49:72:-3:3, -48:72:-3:3, -47:72:-3:3, -46:72:-3:3, 18:72:-3:3,
  19:72:-3:3, 20:72:-3:3, 21:72:-3:3, 22:72:-3:3, -50:72:-2:3, -49:72:-2:3, -48:72:-2:17,
  -47:72:-2:3, -46:72:-2:3, -14:72:-2:44:8, 18:72:-2:3, 19:72:-2:3, 20:72:-2:17, 21:72:-2:3,
  22:72:-2:3, -50:72:-1:3, -49:72:-1:3, -48:72:-1:3, -47:72:-1:3, -46:72:-1:3, 18:72:-1:3,
  19:72:-1:3, 20:72:-1:3, 21:72:-1:3, 22:72:-1:3, -49:72:0:3, -48:72:0:3, -47:72:0:3,
  -29:72:0:44:8, 1:72:0:44:8, 19:72:0:3, 20:72:0:3, 21:72:0:3, -30:72:1:44:8, -29:72:1:44:8,
  -28:72:1:44:8, 0:72:1:44:8, 1:72:1:44:8, 2:72:1:44:8, -30:72:2:44:8, -29:72:2:44:8,
  -28:72:2:44:8, 0:72:2:44:8, 1:72:2:44:8, 2:72:2:44:8, -30:72:3:44:8, -29:72:3:43,
  -28:72:3:44:8, 0:72:3:44:8, 1:72:3:43, 2:72:3:44:8, -30:72:4:44, -29:72:4:44, -28:72:4:44,
  0:72:4:44, 1:72:4:44, 2:72:4:44, -30:72:5:44, -29:72:5:44, -28:72:5:44, 0:72:5:44,
  1:72:5:44, 2:72:5:44, -30:72:6:44, -29:72:6:44, -28:72:6:44, 0:72:6:44, 1:72:6:44,
  2:72:6:44, -32:72:7:20, -31:72:7:1, -27:72:7:1, -26:72:7:20, -2:72:7:20, -1:72:7:1,
  3:72:7:1, 4:72:7:20, -34:72:8:1, -33:72:8:1, -25:72:8:1, -24:72:8:1, -4:72:8:1,
  -3:72:8:1, 5:72:8:1, 6:72:8:1, -34:72:9:1, -24:72:9:1, -4:72:9:1, -2:72:9:121, 1:72:9:121,
  2:72:9:121, 3:72:9:121, 6:72:9:1, -35:72:10:20, -23:72:10:20, -5:72:10:20, 2:72:10:121,
  3:72:10:121, 4:72:10:121, 5:72:10:121, 7:72:10:20, -35:72:11:20, -28:72:11:11:10,
  -23:72:11:1, -5:72:11:1, -3:72:11:121, -1:72:11:121, 0:72:11:121, 3:72:11:121, 4:72:11:121,
  5:72:11:121, 7:72:11:20, -35:72:12:20, -22:72:12:44, -21:72:12:44, -20:72:12:44,
  -19:72:12:44:8, -18:72:12:44:8, -17:72:12:44:8, -11:72:12:44:8, -10:72:12:44:8,
  -9:72:12:44:8, -8:72:12:44, -7:72:12:44, -6:72:12:44, -1:72:12:121, 0:72:12:121,
  3:72:12:121, 4:72:12:121, 5:72:12:121, 7:72:12:20, -35:72:13:1, -31:72:13:11:10,
  -28:72:13:87, -22:72:13:44, -21:72:13:44, -20:72:13:44, -19:72:13:43, -18:72:13:44:8,
  -17:72:13:44:8, -16:72:13:44:8, -12:72:13:44:8, -11:72:13:44:8, -10:72:13:44:8,
  -9:72:13:43, -8:72:13:44, -7:72:13:44, -6:72:13:44, 2:72:13:121, 3:72:13:121, 4:72:13:120:5,
  5:72:13:121, 7:72:13:1, -35:72:14:20, -22:72:14:44, -21:72:14:44, -20:72:14:44,
  -19:72:14:44:8, -18:72:14:44:8, -17:72:14:44:8, -11:72:14:44:8, -10:72:14:44:8,
  -9:72:14:44:8, -8:72:14:44, -7:72:14:44, -6:72:14:44, -2:72:14:121, 1:72:14:121,
  2:72:14:121, 3:72:14:121, 4:72:14:121, 5:72:14:121, 7:72:14:20, -35:72:15:20, -23:72:15:1,
  -5:72:15:1, -2:72:15:121, 0:72:15:121, 1:72:15:121, 2:72:15:121, 3:72:15:121, 4:72:15:121,
  7:72:15:20, -35:72:16:20, -23:72:16:20, -5:72:16:20, 0:72:16:121, 1:72:16:121, 2:72:16:121,
  3:72:16:121, 4:72:16:121, 7:72:16:20, -34:72:17:1, -31:72:17:87, -24:72:17:1, -4:72:17:1,
  1:72:17:121, 2:72:17:121, 3:72:17:121, 6:72:17:1, -34:72:18:1, -33:72:18:1, -31:72:18:87,
  -30:72:18:87, -25:72:18:1, -24:72:18:1, -4:72:18:1, -3:72:18:1, 5:72:18:1, 6:72:18:1,
  -32:72:19:20, -31:72:19:20, -30:72:19:20, -29:72:19:1, -28:72:19:20, -27:72:19:20,
  -26:72:19:20, -2:72:19:20, -1:72:19:20, 0:72:19:20, 1:72:19:1, 2:72:19:20, 3:72:19:20,
  4:72:19:20, -15:72:30:3, -14:72:30:3, -13:72:30:3, -16:72:31:3, -15:72:31:3, -14:72:31:3,
  -13:72:31:3, -12:72:31:3, -16:72:32:3, -15:72:32:3, -14:72:32:17, -13:72:32:3, -12:72:32:3,
  -16:72:33:3, -15:72:33:3, -14:72:33:3, -13:72:33:3, -12:72:33:3, -15:72:34:3, -14:72:34:3,
