Blocks: '[72:58:80:20, -2:70:-6:1:1, -1:70:-6:3:1, -3:70:-5:1:1, -2:70:-5:1:1, -1:70:-5:3:1,
  0:70:-5:172, 1:70:-5:172, -3:70:-4:1:1, -2:70:-4:1:1, -1:70:-4:172, 0:70:-4:172,
  1:70:-4:172, 2:70:-4:172, 3:70:-4:172, -3:70:-3:1:1, -2:70:-3:172, -1:70:-3:172,
  8:81:-12:172, 9:81:-12:172, -11:81:-11:3:1, -10:81:-11:1:1, -9:81:-11:172, -8:81:-11:172,
  -7:81:-11:172, -6:81:-11:172, -5:81:-11:172, -4:81:-11:172, -3:81:-11:172, -2:81:-11:172,
  -1:81:-11:172, 0:81:-11:172, 1:81:-11:172, 2:81:-11:172, 3:81:-11:172, 4:81:-11:172,
  5:81:-11:172, 6:81:-11:172, 7:81:-11:16, 8:81:-11:172, 9:81:-11:172, 10:81:-11:172,
  11:81:-11:172, -11:81:-10:3:1, -10:81:-10:172, -9:81:-10:172, -8:81:-10:15, -7:81:-10:1,
  -6:81:-10:172, -5:81:-10:172, -4:81:-10:172, -3:81:-10:172, -2:81:-10:172, -1:81:-10:172,
  0:81:-10:172, 1:81:-10:172, 2:81:-10:172, 3:81:-10:172, 4:81:-10:172, 5:81:-10:172,
  6:81:-10:172, 8:81:-10:16, 9:81:-10:172, 10:81:-10:172, 11:81:-10:3:1, -12:81:-9:172,
  -11:81:-9:172, -10:81:-9:172, -9:81:-9:172, -4:81:-9:1, -3:81:-9:172, -2:81:-9:172,
  -1:81:-9:172, 0:81:-9:172, 1:81:-9:172, 2:81:-9:172, 3:81:-9:172, 4:81:-9:172, 10:81:-9:172,
  11:81:-9:1, 12:81:-9:1:1, -13:81:-8:172, -12:81:-8:172, -11:81:-8:172, -10:81:-8:172,
  -4:81:-8:172, -3:81:-8:172, -2:81:-8:172, -1:81:-8:172, 0:81:-8:172, 1:81:-8:172,
  2:81:-8:172, 3:81:-8:172, 4:81:-8:16, 10:81:-8:172, 11:81:-8:172, 12:81:-8:1, 13:81:-8:1:1,
  -13:81:-7:172, -12:81:-7:172, -11:81:-7:172, -4:81:-7:172, -3:81:-7:172, -2:81:-7:172,
  -1:81:-7:172, 0:81:-7:172, 1:81:-7:172, 2:81:-7:172, 3:81:-7:172, 4:81:-7:1, 10:81:-7:172,
  11:81:-7:172, 12:81:-7:1, 13:81:-7:3:1, -14:81:-6:172, -13:81:-6:172, -12:81:-6:172,
  -11:81:-6:172, -10:81:-6:1, -4:81:-6:172, -3:81:-6:172, -2:81:-6:172, -1:81:-6:172,
  0:81:-6:172, 1:81:-6:172, 2:81:-6:172, 3:81:-6:172, 4:81:-6:172, 10:81:-6:1, 11:81:-6:172,
  12:81:-6:1, 13:81:-6:3:1, -14:81:-5:3:1, -13:81:-5:172, -12:81:-5:172, -11:81:-5:172,
  -10:81:-5:16, -5:81:-5:1, -4:81:-5:172, -3:81:-5:172, -2:81:-5:172, -1:81:-5:172,
  0:81:-5:172, 1:81:-5:172, 2:81:-5:172, 3:81:-5:172, 4:81:-5:172, 5:81:-5:172, 10:81:-5:172,
  11:81:-5:172, 12:81:-5:1, 13:81:-5:1, 14:81:-5:1:1, -14:81:-4:1:1, -13:81:-4:1:1,
  -12:81:-4:172, -11:81:-4:172, -10:81:-4:172, -9:81:-4:16, -8:81:-4:172, -7:81:-4:172,
  -6:81:-4:1, -5:81:-4:172, -4:81:-4:172, -3:81:-4:172, -2:81:-4:172, -1:81:-4:172,
  0:81:-4:172, 1:81:-4:172, 2:81:-4:172, 3:81:-4:172, 4:81:-4:172, 5:81:-4:172, 6:81:-4:1,
  7:81:-4:15, 8:81:-4:172, 9:81:-4:172, 10:81:-4:172, 11:81:-4:172, 12:81:-4:172,
  13:81:-4:1, 14:81:-4:1:1, -15:81:-3:1:1, -14:81:-3:1:1, -13:81:-3:172, -12:81:-3:172,
  -11:81:-3:172, -10:81:-3:172, -9:81:-3:172, -8:81:-3:172, -7:81:-3:172, -6:81:-3:172,
  -5:81:-3:172, -4:81:-3:172, -3:81:-3:172, -2:81:-3:172, -1:81:-3:172, 0:81:-3:172,
  1:81:-3:172, 2:81:-3:172, 3:81:-3:172, 4:81:-3:172, 5:81:-3:172, 6:81:-3:172, 7:81:-3:172,
  8:81:-3:172, 9:81:-3:172, 10:81:-3:172, 11:81:-3:172, 12:81:-3:172, 13:81:-3:172,
  14:81:-3:1, 15:81:-3:1:1, -42:81:-2:172, -41:81:-2:172, -15:81:-2:1:1, -14:81:-2:1:1,
  -13:81:-2:172, -12:81:-2:172, -11:81:-2:172, -10:81:-2:172, -9:81:-2:172, -8:81:-2:172,
  -7:81:-2:172, -6:81:-2:172, -5:81:-2:172, -4:81:-2:172, -3:81:-2:172, -2:81:-2:172,
  -1:81:-2:172, 0:81:-2:172, 1:81:-2:172, 2:81:-2:172, 3:81:-2:172, 4:81:-2:172, 5:81:-2:172,
  6:81:-2:172, 7:81:-2:172, 8:81:-2:172, 9:81:-2:172, 10:81:-2:172, 11:81:-2:172,
  12:81:-2:172, 13:81:-2:172, 14:81:-2:1, 15:81:-2:1:1, 40:81:-2:172, 41:81:-2:172,
  -42:81:-1:172, -41:81:-1:172, -40:81:-1:172, -39:81:-1:172, -15:81:-1:1:1, -14:81:-1:1:1,
  -13:81:-1:172, -12:81:-1:172, -11:81:-1:172, -10:81:-1:172, -9:81:-1:172, -8:81:-1:172,
  -7:81:-1:172, -6:81:-1:172, -5:81:-1:172, -4:81:-1:172, -3:81:-1:172, -2:81:-1:172,
  -1:81:-1:172, 0:81:-1:172, 1:81:-1:172, 2:81:-1:172, 3:81:-1:172, 4:81:-1:172, 5:81:-1:172,
  6:81:-1:172, 7:81:-1:172, 8:81:-1:172, 9:81:-1:172, 10:81:-1:172, 11:81:-1:172,
  12:81:-1:172, 13:81:-1:172, 14:81:-1:172, 15:81:-1:1:1, 40:81:-1:172, 41:81:-1:172,
  42:81:-1:172, 43:81:-1:172, -43:81:0:172, -42:81:0:172, -41:81:0:172, -40:81:0:172,
  -39:81:0:172, -15:81:0:1:1, -14:81:0:1:1, -13:81:0:172, -12:81:0:172, -11:81:0:172,
  -10:81:0:172, -9:81:0:172, -8:81:0:172, -7:81:0:172, -6:81:0:172, -5:81:0:172, -4:81:0:172,
  -3:81:0:172, -2:81:0:172, -1:81:0:172, 1:81:0:172, 2:81:0:172, 3:81:0:172, 4:81:0:172,
  5:81:0:172, 6:81:0:172, 7:81:0:172, 8:81:0:172, 9:81:0:172, 10:81:0:172, 11:81:0:172,
  12:81:0:172, 13:81:0:172, 14:81:0:1:1, 15:81:0:1:1, 39:81:0:172, 40:81:0:172, 41:81:0:172,
  42:81:0:172, 43:81:0:172, -43:81:1:172, -42:81:1:172, -41:81:1:172, -40:81:1:172,
  -15:81:1:1:1, -14:81:1:1:1, -13:81:1:172, -12:81:1:172, -11:81:1:172, -10:81:1:172,
  -9:81:1:172, -8:81:1:172, -7:81:1:172, -6:81:1:172, -5:81:1:172, -4:81:1:172, -3:81:1:172,
  -2:81:1:172, -1:81:1:172, 0:81:1:172, 1:81:1:172, 2:81:1:172, 3:81:1:172, 4:81:1:172,
  5:81:1:172, 6:81:1:172, 7:81:1:172, 8:81:1:172, 9:81:1:172, 10:81:1:172, 11:81:1:172,
  12:81:1:172, 13:81:1:172, 14:81:1:1:1, 15:81:1:1:1, 39:81:1:172, 40:81:1:172, 41:81:1:172,
  42:81:1:172, -41:81:2:172, -40:81:2:172, -15:81:2:1:1, -14:81:2:1:1, -13:81:2:172,
  -12:81:2:172, -11:81:2:172, -10:81:2:172, -9:81:2:172, -8:81:2:172, -7:81:2:172,
  -6:81:2:172, -5:81:2:172, -4:81:2:172, -3:81:2:172, -2:81:2:172, -1:81:2:172, 0:81:2:172,
  1:81:2:172, 2:81:2:172, 3:81:2:172, 4:81:2:172, 5:81:2:172, 6:81:2:172, 7:81:2:172,
  8:81:2:172, 9:81:2:172, 10:81:2:172, 11:81:2:172, 12:81:2:172, 13:81:2:172, 14:81:2:172,
  15:81:2:1:1, 41:81:2:172, 42:81:2:172, -15:81:3:3:1, -14:81:3:1:1, -13:81:3:172,
  -12:81:3:172, -11:81:3:172, -10:81:3:172, -9:81:3:172, -8:81:3:172, -7:81:3:172,
  -6:81:3:172, -5:81:3:172, -4:81:3:172, -3:81:3:172, -2:81:3:172, -1:81:3:172, 0:81:3:172,
  1:81:3:172, 2:81:3:172, 3:81:3:172, 4:81:3:172, 5:81:3:172, 6:81:3:172, 7:81:3:172,
  8:81:3:172, 9:81:3:172, 10:81:3:172, 11:81:3:172, 12:81:3:172, 13:81:3:172, 14:81:3:172,
  15:81:3:1:1, -14:81:4:1:1, -13:81:4:1:1, -12:81:4:172, -11:81:4:172, -10:81:4:172,
  -9:81:4:1, -8:81:4:172, -7:81:4:172, -6:81:4:172, -5:81:4:172, -4:81:4:172, -3:81:4:172,
  -2:81:4:172, -1:81:4:172, 0:81:4:172, 1:81:4:172, 2:81:4:172, 3:81:4:172, 4:81:4:172,
  5:81:4:172, 6:81:4:1, 7:81:4:1, 8:81:4:172, 9:81:4:172, 10:81:4:172, 11:81:4:172,
  12:81:4:172, 13:81:4:172, 14:81:4:3:1, -14:81:5:1:1, -13:81:5:1:1, -12:81:5:1:1,
  -11:81:5:172, -10:81:5:1, -5:81:5:172, -4:81:5:172, -3:81:5:172, -2:81:5:172, -1:81:5:172,
  0:81:5:172, 1:81:5:172, 2:81:5:172, 3:81:5:172, 4:81:5:172, 5:81:5:172, 10:81:5:172,
  11:81:5:172, 12:81:5:172, 13:81:5:172, 14:81:5:172, -13:81:6:1:1, -12:81:6:1:1,
  -11:81:6:172, -10:81:6:172, -4:81:6:172, -3:81:6:172, -2:81:6:172, -1:81:6:172,
  0:81:6:172, 1:81:6:172, 2:81:6:172, 3:81:6:172, 4:81:6:172, 10:81:6:172, 11:81:6:172,
  12:81:6:172, 13:81:6:172, 14:81:6:172, -13:81:7:1:1, -12:81:7:1:1, -11:81:7:172,
  -10:81:7:172, -4:81:7:172, -3:81:7:172, -2:81:7:172, -1:81:7:172, 0:81:7:172, 1:81:7:172,
  2:81:7:172, 3:81:7:172, 4:81:7:172, 11:81:7:1, 12:81:7:172, 13:81:7:172, -13:81:8:1:1,
  -12:81:8:1:1, -11:81:8:172, -4:81:8:1, -3:81:8:172, -2:81:8:172, -1:81:8:172, 0:81:8:172,
  1:81:8:172, 2:81:8:172, 3:81:8:172, 4:81:8:172, 10:81:8:16, 11:81:8:172, 12:81:8:172,
  13:81:8:172, -12:81:9:1:1, -11:81:9:172, -10:81:9:172, -4:81:9:172, -3:81:9:172,
  -2:81:9:172, -1:81:9:172, 0:81:9:172, 1:81:9:172, 2:81:9:172, 3:81:9:172, 4:81:9:172,
  9:81:9:172, 10:81:9:172, 11:81:9:172, 12:81:9:172, -11:81:10:3:1, -10:81:10:172,
  -9:81:10:172, -8:81:10:16, -6:81:10:172, -5:81:10:172, -4:81:10:172, -3:81:10:172,
  -2:81:10:172, -1:81:10:172, 0:81:10:172, 1:81:10:172, 2:81:10:172, 3:81:10:172,
  4:81:10:172, 5:81:10:172, 6:81:10:1, 7:81:10:15, 8:81:10:172, 9:81:10:172, 10:81:10:172,
  11:81:10:172, -11:81:11:3:1, -10:81:11:172, -9:81:11:172, -8:81:11:172, -7:81:11:16,
  -6:81:11:172, -5:81:11:172, -4:81:11:172, -3:81:11:172, -2:81:11:172, -1:81:11:172,
  0:81:11:172, 1:81:11:172, 2:81:11:172, 3:81:11:172, 4:81:11:172, 5:81:11:172, 6:81:11:172,
  7:81:11:172, 8:81:11:172, 9:81:11:172, 10:81:11:172, 11:81:11:172, -9:81:12:172,
  -8:81:12:172, -7:81:12:172, -6:81:12:172, -5:81:12:172, -4:81:12:172, -3:81:12:172,
  -2:81:12:172, -1:81:12:172, 0:81:12:172, 1:81:12:172, 2:81:12:172, 3:81:12:172,
  4:81:12:172, 5:81:12:172, 6:81:12:172, 7:81:12:172, 8:81:12:172, 9:81:12:172, -8:81:13:172,
  -7:81:13:3:1, -6:81:13:172, -5:81:13:1:1, -4:81:13:172, -3:81:13:172, -2:81:13:172,
  -1:81:13:172, 0:81:13:172, 1:81:13:172, 2:81:13:172, 3:81:13:1, 4:81:13:1, 5:81:13:1,
  6:81:13:3:1, 7:81:13:159:1, 8:81:13:172, -6:81:14:1:1, -5:81:14:1:1, -4:81:14:1:1,
  -3:81:14:1:1, -2:81:14:172, -1:81:14:1:1, 0:81:14:1:1, 1:81:14:1:1, 2:81:14:1:1,
  3:81:14:1:1, 4:81:14:1:1, 5:81:14:1:1, -39:81:15:172, -38:81:15:172, -3:81:15:1:1,
  -2:81:15:1:1, -1:81:15:1:1, 0:81:15:1:1, 1:81:15:1:1, 2:81:15:1:1, 37:81:15:172,
  38:81:15:172, -39:81:16:172, -38:81:16:172, -37:81:16:172, -36:81:16:172, 37:81:16:172,
  38:81:16:172, 39:81:16:172, 40:81:16:172, -40:81:17:172, -39:81:17:172, -38:81:17:172,
  -37:81:17:172, -36:81:17:172, 36:81:17:172, 37:81:17:172, 38:81:17:172, 39:81:17:172,
  40:81:17:172, -40:81:18:172, -39:81:18:172, -38:81:18:172, -37:81:18:172, 36:81:18:172,
  37:81:18:172, 38:81:18:172, 39:81:18:172, -38:81:19:172, -37:81:19:172, 38:81:19:172,
  39:81:19:172, -18:81:36:172, -17:81:36:172, 16:81:36:172, 17:81:36:172, -18:81:37:172,
  -17:81:37:172, -16:81:37:172, -15:81:37:172, 16:81:37:172, 17:81:37:172, 18:81:37:172,
  19:81:37:172, -19:81:38:172, -18:81:38:172, -17:81:38:172, -16:81:38:172, -15:81:38:172,
  15:81:38:172, 16:81:38:172, 17:81:38:172, 18:81:38:172, 19:81:38:172, -19:81:39:172,
  -18:81:39:172, -17:81:39:172, -16:81:39:172, -1:81:39:172, 0:81:39:172, 15:81:39:172,
  16:81:39:172, 17:81:39:172, 18:81:39:172, -17:81:40:172, -16:81:40:172, -1:81:40:172,
  0:81:40:172, 1:81:40:172, 2:81:40:172, 17:81:40:172, 18:81:40:172, -2:81:41:172,
  -1:81:41:172, 0:81:41:172, 1:81:41:172, 2:81:41:172, -2:81:42:172, -1:81:42:172,
  0:81:42:172, 1:81:42:172, 0:81:43:172, 1:81:43:172, 0:82:-44:172, 1:82:-44:172,
  -2:82:-43:172, -1:82:-43:172, 0:82:-43:172, 1:82:-43:172, 2:82:-43:172, -3:82:-42:172,
  -2:82:-42:172, -1:82:-42:172, 0:82:-42:172, 1:82:-42:172, 2:82:-42:172, -17:82:-41:172,
  -16:82:-41:172, -3:82:-41:172, -2:82:-41:172, -1:82:-41:172, 0:82:-41:172, 1:82:-41:172,
  2:82:-41:172, 3:82:-41:172, 17:82:-41:172, 18:82:-41:172, -19:82:-40:172, -18:82:-40:172,
  -17:82:-40:172, -16:82:-40:172, -15:82:-40:172, -2:82:-40:172, -1:82:-40:172, 0:82:-40:172,
  1:82:-40:172, 2:82:-40:172, 3:82:-40:172, 15:82:-40:172, 16:82:-40:172, 17:82:-40:172,
  18:82:-40:172, 19:82:-40:172, -20:82:-39:172, -19:82:-39:172, -18:82:-39:172, -17:82:-39:172,
  -16:82:-39:172, -15:82:-39:172, -2:82:-39:172, -1:82:-39:172, 0:82:-39:172, 1:82:-39:172,
  2:82:-39:172, 14:82:-39:172, 15:82:-39:172, 16:82:-39:172, 17:82:-39:172, 18:82:-39:172,
  19:82:-39:172, -20:82:-38:172, -19:82:-38:172, -18:82:-38:172, -17:82:-38:172, -16:82:-38:172,
  -15:82:-38:172, -14:82:-38:172, -1:82:-38:172, 0:82:-38:172, 14:82:-38:172, 15:82:-38:172,
  16:82:-38:172, 17:82:-38:172, 18:82:-38:172, 19:82:-38:172, 20:82:-38:172, -19:82:-37:172,
  -18:82:-37:172, -17:82:-37:172, -16:82:-37:172, -15:82:-37:172, -14:82:-37:172,
  15:82:-37:172, 16:82:-37:172, 17:82:-37:172, 18:82:-37:172, 19:82:-37:172, 20:82:-37:172,
  -19:82:-36:172, -18:82:-36:172, -17:82:-36:172, -16:82:-36:172, -15:82:-36:172,
  15:82:-36:172, 16:82:-36:172, 17:82:-36:172, 18:82:-36:172, 19:82:-36:172, -18:82:-35:172,
  -17:82:-35:172, 16:82:-35:172, 17:82:-35:172, -38:82:-20:172, -37:82:-20:172, 38:82:-20:172,
  39:82:-20:172, -40:82:-19:172, -39:82:-19:172, -38:82:-19:172, -37:82:-19:172, -36:82:-19:172,
  36:82:-19:172, 37:82:-19:172, 38:82:-19:172, 39:82:-19:172, 40:82:-19:172, -41:82:-18:172,
  -40:82:-18:172, -39:82:-18:172, -38:82:-18:172, -37:82:-18:172, -36:82:-18:172,
  35:82:-18:172, 36:82:-18:172, 37:82:-18:172, 38:82:-18:172, 39:82:-18:172, 40:82:-18:172,
  -41:82:-17:172, -40:82:-17:172, -39:82:-17:172, -38:82:-17:172, -37:82:-17:172,
  -36:82:-17:172, -35:82:-17:172, 35:82:-17:172, 36:82:-17:172, 37:82:-17:172, 38:82:-17:172,
  39:82:-17:172, 40:82:-17:172, 41:82:-17:172, -40:82:-16:172, -39:82:-16:172, -38:82:-16:172,
  -37:82:-16:172, -36:82:-16:172, -35:82:-16:172, 36:82:-16:172, 37:82:-16:172, 38:82:-16:172,
  39:82:-16:172, 40:82:-16:172, 41:82:-16:172, -40:82:-15:172, -39:82:-15:172, -38:82:-15:172,
  -37:82:-15:172, -36:82:-15:172, -3:82:-15:3:1, -2:82:-15:3:1, -1:82:-15:3:1, 0:82:-15:1:1,
  1:82:-15:1:1, 2:82:-15:159:1, 3:82:-15:159:1, 36:82:-15:172, 37:82:-15:172, 38:82:-15:172,
  39:82:-15:172, 40:82:-15:172, -39:82:-14:172, -38:82:-14:172, -6:82:-14:159:1, -5:82:-14:159:1,
  -4:82:-14:159:1, -3:82:-14:1:1, -2:82:-14:1:1, -1:82:-14:1:1, 0:82:-14:1:1, 1:82:-14:1:1,
  2:82:-14:172, 3:82:-14:172, 4:82:-14:172, 5:82:-14:159:1, 6:82:-14:159:1, 37:82:-14:172,
  38:82:-14:172, -8:82:-13:3:1, -7:82:-13:3:1, -6:82:-13:1:1, -5:82:-13:1:1, -4:82:-13:172,
  -3:82:-13:172, -2:82:-13:172, -1:82:-13:172, 0:82:-13:172, 1:82:-13:172, 2:82:-13:172,
  3:82:-13:172, 4:82:-13:172, 5:82:-13:172, 6:82:-13:172, 7:82:-13:159:1, 8:82:-13:159:1,
  -10:82:-12:159:1, -9:82:-12:1:1, -8:82:-12:1:1, -7:82:-12:1:1, -6:82:-12:1:1, -5:82:-12:172,
  -4:82:-12:172, -3:82:-12:172, -2:82:-12:172, -1:82:-12:172, 0:82:-12:172, 1:82:-12:172,
  2:82:-12:172, 3:82:-12:172, 4:82:-12:172, 5:82:-12:172, 6:82:-12:172, 7:82:-12:172,
  8:82:-12:172, 9:82:-12:172, 10:82:-12:159:1, -11:82:-11:159:1, -10:82:-11:172, -9:82:-11:172,
  -8:82:-11:172, -7:82:-11:172, -6:82:-11:172, -5:82:-11:172, -4:82:-11:172, -3:82:-11:172,
  -2:82:-11:172, -1:82:-11:172, 0:82:-11:172, 1:82:-11:172, 2:82:-11:172, 3:82:-11:172,
  4:82:-11:172, 5:82:-11:172, 6:82:-11:172, 7:82:-11:1, 8:82:-11:172, 9:82:-11:172,
  10:82:-11:172, 11:82:-11:159:1, -12:82:-10:159:1, -11:82:-10:172, -10:82:-10:172,
  -9:82:-10:172, -8:82:-10:1, -7:82:-10:1, -6:82:-10:172, -5:82:-10:172, -4:82:-10:172,
  -3:82:-10:172, -2:82:-10:172, -1:82:-10:172, 0:82:-10:172, 1:82:-10:172, 2:82:-10:172,
  3:82:-10:172, 4:82:-10:172, 5:82:-10:172, 6:82:-10:172, 8:82:-10:1, 9:82:-10:172,
  10:82:-10:172, 11:82:-10:1, 12:82:-10:159:1, -12:82:-9:172, -11:82:-9:172, -10:82:-9:172,
  -9:82:-9:172, -4:82:-9:1, -3:82:-9:172, -2:82:-9:172, -1:82:-9:172, 0:82:-9:172,
  1:82:-9:172, 2:82:-9:172, 3:82:-9:172, 4:82:-9:172, 9:82:-9:1, 10:82:-9:172, 11:82:-9:1,
  12:82:-9:1:1, -13:82:-8:159:1, -12:82:-8:172, -11:82:-8:172, -10:82:-8:172, -4:82:-8:172,
  -3:82:-8:172, -2:82:-8:172, -1:82:-8:172, 0:82:-8:172, 1:82:-8:172, 2:82:-8:172,
  3:82:-8:172, 4:82:-8:16, 10:82:-8:172, 11:82:-8:1, 12:82:-8:1, 13:82:-8:159:1, -13:82:-7:159:1,
  -12:82:-7:172, -11:82:-7:172, -10:82:-7:172, -4:82:-7:172, -3:82:-7:172, -2:82:-7:172,
  -1:82:-7:172, 0:82:-7:172, 1:82:-7:172, 2:82:-7:172, 3:82:-7:172, 4:82:-7:16, 10:82:-7:172,
  11:82:-7:172, 12:82:-7:1, 13:82:-7:159:1, -14:82:-6:159:1, -13:82:-6:172, -12:82:-6:172,
  -11:82:-6:172, -10:82:-6:172, -4:82:-6:1, -3:82:-6:172, -2:82:-6:172, -1:82:-6:172,
  0:82:-6:172, 1:82:-6:172, 2:82:-6:172, 3:82:-6:172, 4:82:-6:172, 10:82:-6:1, 11:82:-6:172,
  12:82:-6:1, 13:82:-6:1, 14:82:-6:3:1, -14:82:-5:159:1, -13:82:-5:1:1, -12:82:-5:172,
  -11:82:-5:172, -10:82:-5:16, -5:82:-5:1, -4:82:-5:172, -3:82:-5:172, -2:82:-5:172,
  -1:82:-5:172, 0:82:-5:172, 1:82:-5:172, 2:82:-5:172, 3:82:-5:172, 4:82:-5:172, 5:82:-5:172,
  6:82:-5:134:6, 10:82:-5:1, 11:82:-5:172, 12:82:-5:172, 13:82:-5:1, 14:82:-5:3:1,
  -14:82:-4:1:1, -13:82:-4:1:1, -12:82:-4:172, -11:82:-4:172, -10:82:-4:172, -9:82:-4:1,
  -8:82:-4:172, -7:82:-4:172, -6:82:-4:172, -5:82:-4:172, -4:82:-4:172, -3:82:-4:172,
  -2:82:-4:172, -1:82:-4:172, 0:82:-4:172, 1:82:-4:172, 2:82:-4:172, 3:82:-4:172,
  4:82:-4:172, 5:82:-4:172, 6:82:-4:172, 7:82:-4:1, 8:82:-4:1, 9:82:-4:172, 10:82:-4:172,
  11:82:-4:172, 12:82:-4:172, 13:82:-4:172, 14:82:-4:3:1, -41:82:-3:172, -40:82:-3:172,
  -15:82:-3:159:1, -14:82:-3:1:1, -13:82:-3:1:1, -12:82:-3:172, -11:82:-3:172, -10:82:-3:172,
  -9:82:-3:172, -8:82:-3:172, -7:82:-3:172, -6:82:-3:172, -5:82:-3:172, -4:82:-3:172,
  -3:82:-3:172, -2:82:-3:172, -1:82:-3:172, 0:82:-3:172, 1:82:-3:172, 2:82:-3:172,
  3:82:-3:172, 4:82:-3:172, 5:82:-3:172, 6:82:-3:172, 7:82:-3:172, 8:82:-3:172, 9:82:-3:172,
  10:82:-3:172, 11:82:-3:172, 12:82:-3:172, 13:82:-3:172, 14:82:-3:1, 15:82:-3:159:1,
  41:82:-3:172, 42:82:-3:172, -43:82:-2:172, -42:82:-2:172, -41:82:-2:172, -40:82:-2:172,
  -39:82:-2:172, -15:82:-2:1:1, -14:82:-2:1:1, -13:82:-2:172, -12:82:-2:172, -11:82:-2:172,
  -10:82:-2:172, -9:82:-2:172, -8:82:-2:172, -7:82:-2:172, -6:82:-2:172, -5:82:-2:172,
  -4:82:-2:172, -3:82:-2:172, -2:82:-2:172, -1:82:-2:172, 0:82:-2:172, 1:82:-2:172,
  2:82:-2:172, 3:82:-2:172, 4:82:-2:172, 5:82:-2:172, 6:82:-2:172, 7:82:-2:172, 8:82:-2:172,
  9:82:-2:172, 10:82:-2:172, 11:82:-2:172, 12:82:-2:172, 13:82:-2:172, 14:82:-2:1,
  15:82:-2:159:1, 39:82:-2:172, 40:82:-2:172, 41:82:-2:172, 42:82:-2:172, 43:82:-2:172,
  -44:82:-1:172, -43:82:-1:172, -42:82:-1:172, -41:82:-1:172, -40:82:-1:172, -39:82:-1:172,
  -15:82:-1:1:1, -14:82:-1:1:1, -13:82:-1:172, -12:82:-1:172, -11:82:-1:172, -10:82:-1:172,
  -9:82:-1:172, -8:82:-1:172, -7:82:-1:172, -6:82:-1:172, -5:82:-1:172, -4:82:-1:172,
  -3:82:-1:172, -2:82:-1:172, -1:82:-1:172, 0:82:-1:172, 1:82:-1:172, 2:82:-1:172,
  3:82:-1:172, 4:82:-1:172, 5:82:-1:172, 6:82:-1:172, 7:82:-1:172, 8:82:-1:172, 9:82:-1:172,
  10:82:-1:172, 11:82:-1:172, 12:82:-1:172, 13:82:-1:172, 14:82:-1:1:1, 15:82:-1:159:1,
  38:82:-1:172, 39:82:-1:172, 40:82:-1:172, 41:82:-1:172, 42:82:-1:172, 43:82:-1:172,
  -44:82:0:172, -43:82:0:172, -42:82:0:172, -41:82:0:172, -40:82:0:172, -39:82:0:172,
  -38:82:0:172, -15:82:0:1:1, -14:82:0:1:1, -13:82:0:172, -12:82:0:172, -11:82:0:172,
  -10:82:0:172, -9:82:0:172, -8:82:0:172, -7:82:0:172, -6:82:0:172, -5:82:0:172, -4:82:0:172,
  -3:82:0:172, -2:82:0:172, -1:82:0:172, 1:82:0:172, 2:82:0:172, 3:82:0:172, 4:82:0:172,
  5:82:0:172, 6:82:0:172, 7:82:0:172, 8:82:0:172, 9:82:0:172, 10:82:0:172, 11:82:0:172,
  12:82:0:172, 13:82:0:172, 14:82:0:1:1, 15:82:0:1:1, 38:82:0:172, 39:82:0:172, 40:82:0:172,
  41:82:0:172, 42:82:0:172, 43:82:0:172, 44:82:0:172, -43:82:1:172, -42:82:1:172,
  -41:82:1:172, -40:82:1:172, -39:82:1:172, -38:82:1:172, -15:82:1:159:1, -14:82:1:1:1,
  -13:82:1:172, -12:82:1:172, -11:82:1:172, -10:82:1:172, -9:82:1:172, -8:82:1:172,
  -7:82:1:172, -6:82:1:172, -5:82:1:172, -4:82:1:172, -3:82:1:172, -2:82:1:172, -1:82:1:172,
  0:82:1:172, 1:82:1:172, 2:82:1:172, 3:82:1:172, 4:82:1:172, 5:82:1:172, 6:82:1:172,
  7:82:1:172, 8:82:1:172, 9:82:1:172, 10:82:1:172, 11:82:1:172, 12:82:1:172, 13:82:1:172,
  14:82:1:1:1, 15:82:1:1:1, 39:82:1:172, 40:82:1:172, 41:82:1:172, 42:82:1:172, 43:82:1:172,
  44:82:1:172, -43:82:2:172, -42:82:2:172, -41:82:2:172, -40:82:2:172, -39:82:2:172,
  -15:82:2:159:1, -14:82:2:172, -13:82:2:172, -12:82:2:172, -11:82:2:172, -10:82:2:172,
  -9:82:2:172, -8:82:2:172, -7:82:2:172, -6:82:2:172, -5:82:2:172, -4:82:2:172, -3:82:2:172,
  -2:82:2:172, -1:82:2:172, 0:82:2:172, 1:82:2:172, 2:82:2:172, 3:82:2:172, 4:82:2:172,
  5:82:2:172, 6:82:2:172, 7:82:2:172, 8:82:2:172, 9:82:2:172, 10:82:2:172, 11:82:2:172,
  12:82:2:172, 13:82:2:172, 14:82:2:1:1, 15:82:2:1:1, 39:82:2:172, 40:82:2:172, 41:82:2:172,
  42:82:2:172, 43:82:2:172, -42:82:3:172, -41:82:3:172, -15:82:3:159:1, -14:82:3:1:1,
  -13:82:3:172, -12:82:3:172, -11:82:3:172, -10:82:3:172, -9:82:3:172, -8:82:3:172,
  -7:82:3:172, -6:82:3:172, -5:82:3:172, -4:82:3:172, -3:82:3:172, -2:82:3:172, -1:82:3:172,
  0:82:3:172, 1:82:3:172, 2:82:3:172, 3:82:3:172, 4:82:3:172, 5:82:3:172, 6:82:3:172,
