Blocks: '[-7:45:-7:1, 7:45:-7:1, -7:45:7:1, -7:46:-7:1, -6:46:-7:1, 7:46:-7:1, -7:46:-6:1,
  -5:56:8:98, 5:56:8:98, 7:56:8:65:3, 9:56:8:98, 18:56:8:1, -26:56:9:1, -25:56:9:1,
  -24:56:9:1, -23:56:9:15, -8:56:9:98, -7:56:9:98, -6:56:9:98, 6:56:9:98, 7:56:9:98,
  8:56:9:98, 17:56:9:1, 18:56:9:1, 19:56:9:1, -25:56:10:1, -24:56:10:1, -23:56:10:1,
  17:56:10:15, 18:56:10:1, 19:56:10:1, 20:56:10:1, -24:56:11:1, 18:56:11:1, 19:56:11:1,
  18:56:12:1, 19:56:12:1, -10:56:17:1, -9:56:17:1, -23:56:18:1, -22:56:18:1, -21:56:18:1,
  -20:56:18:1, -19:56:18:1, -10:56:18:1, -9:56:18:1, 19:56:18:1, 20:56:18:1, 21:56:18:1,
  22:56:18:1, 23:56:18:1, -24:56:19:1, -23:56:19:1, -22:56:19:1, -21:56:19:1, -20:56:19:1,
  -19:56:19:1, -18:56:19:1, -11:56:19:1, -10:56:19:1, -9:56:19:1, -8:56:19:15, 18:56:19:1,
  19:56:19:1, 20:56:19:1, 21:56:19:1, 22:56:19:1, 23:56:19:1, 24:56:19:1, -24:56:20:1,
  -23:56:20:1, -22:56:20:1, -21:56:20:1, -20:56:20:1, -19:56:20:1, -18:56:20:1, -10:56:20:1,
  -9:56:20:1, -8:56:20:1, 18:56:20:1, 19:56:20:1, 20:56:20:1, 21:56:20:1, 22:56:20:1,
  23:56:20:1, 24:56:20:1, -24:56:21:1, -23:56:21:1, -22:56:21:1, -21:56:21:1, -20:56:21:1,
  -19:56:21:1, -18:56:21:1, -9:56:21:1, 10:56:21:1, 18:56:21:1, 19:56:21:1, 20:56:21:1,
  21:56:21:1, 22:56:21:1, 23:56:21:1, 24:56:21:1, -24:56:22:1, -23:56:22:1, -22:56:22:1,
  -21:56:22:1, -20:56:22:1, -19:56:22:1, -18:56:22:1, 9:56:22:1, 10:56:22:1, 11:56:22:1,
  12:56:22:1, 18:56:22:1, 19:56:22:1, 20:56:22:1, 21:56:22:1, 22:56:22:1, 23:56:22:1,
  24:56:22:1, -24:56:23:1, -23:56:23:1, -22:56:23:1, -21:56:23:1, -20:56:23:1, -19:56:23:1,
  -18:56:23:1, 8:56:23:1, 9:56:23:1, 10:56:23:1, 11:56:23:1, 12:56:23:1, 18:56:23:1,
  19:56:23:1, 20:56:23:1, 21:56:23:1, 22:56:23:1, 23:56:23:1, 24:56:23:1, -23:56:24:1,
  -22:56:24:1, -21:56:24:1, -20:56:24:1, -19:56:24:1, 9:56:24:1, 10:56:24:15, 19:56:24:1,
  20:56:24:1, 21:56:24:1, 22:56:24:1, 23:56:24:1, -2:56:26:1, -1:56:26:1, 0:56:26:1,
  1:56:26:1, 2:56:26:1, -3:56:27:1, -2:56:27:1, -1:56:27:1, 0:56:27:1, 1:56:27:1,
  2:56:27:1, 3:56:27:1, -3:56:28:1, -2:56:28:1, -1:56:28:1, 0:56:28:1, 1:56:28:1,
  2:56:28:1, 3:56:28:1, -3:56:29:1, -2:56:29:1, -1:56:29:1, 0:56:29:1, 1:56:29:1,
  2:56:29:1, 3:56:29:1, -3:56:30:1, -2:56:30:1, -1:56:30:1, 0:56:30:1, 1:56:30:1,
  2:56:30:1, 3:56:30:1, -3:56:31:1, -2:56:31:1, -1:56:31:1, 0:56:31:1, 1:56:31:1,
  2:56:31:1, 3:56:31:1, -2:56:32:1, -1:56:32:1, 0:56:32:1, 1:56:32:1, 2:56:32:1, -2:57:-35:1,
  -1:57:-35:1, 0:57:-35:1, 1:57:-35:1, 2:57:-35:1, -3:57:-34:1, -2:57:-34:3, -1:57:-34:3,
  0:57:-34:3, 1:57:-34:3, 2:57:-34:3, 3:57:-34:1, -4:57:-33:1, -3:57:-33:3, -2:57:-33:3,
  -1:57:-33:3, 0:57:-33:3, 1:57:-33:3, 2:57:-33:3, 3:57:-33:3, 4:57:-33:1, -4:57:-32:1,
  -3:57:-32:3, -2:57:-32:3, -1:57:-32:3, 0:57:-32:3, 1:57:-32:3, 2:57:-32:3, 3:57:-32:3,
  4:57:-32:1, -4:57:-31:1, -3:57:-31:3, -2:57:-31:3, -1:57:-31:3, 0:57:-31:3, 1:57:-31:3,
  2:57:-31:3, 3:57:-31:3, 4:57:-31:1, -4:57:-30:1, -3:57:-30:3, -2:57:-30:3, -1:57:-30:3,
  0:57:-30:3, 1:57:-30:3, 2:57:-30:3, 3:57:-30:3, 4:57:-30:1, -4:57:-29:1, -3:57:-29:3,
  -2:57:-29:3, -1:57:-29:3, 0:57:-29:3, 1:57:-29:3, 2:57:-29:3, 3:57:-29:3, 4:57:-29:1,
  -3:57:-28:1, -2:57:-28:3, -1:57:-28:3, 0:57:-28:3, 1:57:-28:3, 2:57:-28:3, 3:57:-28:1,
  -2:57:-27:1, -1:57:-27:1, 0:57:-27:1, 1:57:-27:1, 2:57:-27:1, -23:57:-25:1, -22:57:-25:1,
  -21:57:-25:1, -20:57:-25:1, -19:57:-25:1, -10:57:-25:1, -9:57:-25:15, 19:57:-25:1,
  20:57:-25:1, 21:57:-25:1, 22:57:-25:1, 23:57:-25:1, -24:57:-24:1, -23:57:-24:3,
  -22:57:-24:3, -21:57:-24:3, -20:57:-24:3, -19:57:-24:3, -18:57:-24:1, -11:57:-24:15,
  -10:57:-24:1, -9:57:-24:1, 8:57:-24:1, 9:57:-24:1, 10:57:-24:15, 18:57:-24:1, 19:57:-24:3,
  20:57:-24:3, 21:57:-24:3, 22:57:-24:3, 23:57:-24:3, 24:57:-24:1, -25:57:-23:1, -24:57:-23:3,
  -23:57:-23:3, -22:57:-23:3, -21:57:-23:3, -20:57:-23:3, -19:57:-23:3, -18:57:-23:3,
  -17:57:-23:1, 8:57:-23:15, 9:57:-23:1, 17:57:-23:1, 18:57:-23:3, 19:57:-23:3, 20:57:-23:3,
  21:57:-23:3, 22:57:-23:3, 23:57:-23:3, 24:57:-23:3, 25:57:-23:1, -25:57:-22:1, -24:57:-22:3,
  -23:57:-22:3, -22:57:-22:3, -21:57:-22:3, -20:57:-22:3, -19:57:-22:3, -18:57:-22:3,
  -17:57:-22:1, 17:57:-22:1, 18:57:-22:3, 19:57:-22:3, 20:57:-22:3, 21:57:-22:3, 22:57:-22:3,
  23:57:-22:3, 24:57:-22:3, 25:57:-22:1, -25:57:-21:1, -24:57:-21:3, -23:57:-21:3,
  -22:57:-21:3, -21:57:-21:3, -20:57:-21:3, -19:57:-21:3, -18:57:-21:3, -17:57:-21:1,
  17:57:-21:1, 18:57:-21:3, 19:57:-21:3, 20:57:-21:3, 21:57:-21:3, 22:57:-21:3, 23:57:-21:3,
  24:57:-21:3, 25:57:-21:1, -25:57:-20:1, -24:57:-20:3, -23:57:-20:3, -22:57:-20:3,
  -21:57:-20:3, -20:57:-20:3, -19:57:-20:3, -18:57:-20:3, -17:57:-20:1, 17:57:-20:1,
  18:57:-20:3, 19:57:-20:3, 20:57:-20:3, 21:57:-20:3, 22:57:-20:3, 23:57:-20:3, 24:57:-20:3,
  25:57:-20:1, -25:57:-19:1, -24:57:-19:3, -23:57:-19:3, -22:57:-19:3, -21:57:-19:3,
  -20:57:-19:3, -19:57:-19:3, -18:57:-19:3, -17:57:-19:1, 17:57:-19:1, 18:57:-19:3,
  19:57:-19:3, 20:57:-19:3, 21:57:-19:3, 22:57:-19:3, 23:57:-19:3, 24:57:-19:3, 25:57:-19:1,
  -24:57:-18:1, -23:57:-18:3, -22:57:-18:3, -21:57:-18:3, -20:57:-18:3, -19:57:-18:3,
  -18:57:-18:1, 18:57:-18:1, 19:57:-18:3, 20:57:-18:3, 21:57:-18:3, 22:57:-18:3, 23:57:-18:3,
  24:57:-18:1, -23:57:-17:1, -22:57:-17:1, -21:57:-17:1, -20:57:-17:1, -19:57:-17:1,
  19:57:-17:1, 20:57:-17:1, 21:57:-17:1, 22:57:-17:1, 23:57:-17:1, -20:57:-10:1, -19:57:-10:15,
  20:57:-10:15, 21:57:-10:1, -21:57:-9:15, -20:57:-9:1, -19:57:-9:1, -8:57:-9:98,
  -7:57:-9:98, -6:57:-9:98, 6:57:-9:98, 7:57:-9:98, 8:57:-9:98, 20:57:-9:1, 21:57:-9:1,
  -9:57:-8:98, -7:57:-8:65:2, -5:57:-8:98, 5:57:-8:98, 9:57:-8:98, 21:57:-8:15, -9:57:-7:98,
  -7:57:-7:17:1, -5:57:-7:98, 5:57:-7:98, 6:57:-7:50:2, 7:57:-7:17:1, 8:57:-7:65:5,
  9:57:-7:98, -9:57:-6:98, -7:57:-6:50:3, -5:57:-6:98, 5:57:-6:98, 9:57:-6:98, -8:57:-5:98,
  -7:57:-5:98, -6:57:-5:98, 6:57:-5:98, 7:57:-5:98, 8:57:-5:98, -31:57:-4:1, -30:57:-4:1,
  -29:57:-4:1, -28:57:-4:1, -27:57:-4:1, 26:57:-4:1, 27:57:-4:1, 28:57:-4:1, 29:57:-4:1,
  30:57:-4:1, -32:57:-3:1, -31:57:-3:3, -30:57:-3:3, -29:57:-3:3, -28:57:-3:3, -27:57:-3:3,
  -26:57:-3:1, 0:57:-3:3, 1:57:-3:3, 25:57:-3:1, 26:57:-3:3, 27:57:-3:3, 28:57:-3:3,
  29:57:-3:3, 30:57:-3:3, 31:57:-3:1, -33:57:-2:1, -32:57:-2:3, -31:57:-2:3, -30:57:-2:3,
  -29:57:-2:3, -28:57:-2:3, -27:57:-2:3, -26:57:-2:3, -25:57:-2:1, -2:57:-2:1, -1:57:-2:3,
  0:57:-2:3, 1:57:-2:3, 2:57:-2:3, 24:57:-2:1, 25:57:-2:3, 26:57:-2:3, 27:57:-2:3,
  28:57:-2:3, 29:57:-2:3, 30:57:-2:3, 31:57:-2:3, 32:57:-2:1, -33:57:-1:1, -32:57:-1:3,
  -31:57:-1:3, -30:57:-1:3, -29:57:-1:3, -28:57:-1:3, -27:57:-1:3, -26:57:-1:3, -25:57:-1:1,
  -2:57:-1:3, -1:57:-1:3, 0:57:-1:3, 1:57:-1:3, 2:57:-1:3, 24:57:-1:1, 25:57:-1:3,
  26:57:-1:3, 27:57:-1:3, 28:57:-1:3, 29:57:-1:3, 30:57:-1:3, 31:57:-1:3, 32:57:-1:1,
  -33:57:0:1, -32:57:0:3, -31:57:0:3, -30:57:0:3, -29:57:0:3, -28:57:0:3, -27:57:0:3,
  -26:57:0:3, -25:57:0:1, -2:57:0:3, -1:57:0:3, 0:57:0:3, 1:57:0:3, 2:57:0:1, 24:57:0:1,
  25:57:0:3, 26:57:0:3, 27:57:0:3, 28:57:0:3, 29:57:0:3, 30:57:0:3, 31:57:0:3, 32:57:0:1,
  -33:57:1:1, -32:57:1:3, -31:57:1:3, -30:57:1:3, -29:57:1:3, -28:57:1:3, -27:57:1:3,
  -26:57:1:3, -25:57:1:1, -2:57:1:3, -1:57:1:3, 0:57:1:3, 1:57:1:3, 2:57:1:3, 24:57:1:1,
  25:57:1:3, 26:57:1:3, 27:57:1:3, 28:57:1:3, 29:57:1:3, 30:57:1:3, 31:57:1:3, 32:57:1:1,
  -33:57:2:1, -32:57:2:3, -31:57:2:3, -30:57:2:3, -29:57:2:3, -28:57:2:3, -27:57:2:3,
  -26:57:2:3, -25:57:2:1, -1:57:2:3, 0:57:2:1, 1:57:2:3, 2:57:2:56, 24:57:2:1, 25:57:2:3,
  26:57:2:3, 27:57:2:3, 28:57:2:3, 29:57:2:3, 30:57:2:3, 31:57:2:3, 32:57:2:1, -32:57:3:1,
  -31:57:3:3, -30:57:3:3, -29:57:3:3, -28:57:3:3, -27:57:3:3, -26:57:3:1, 25:57:3:1,
  26:57:3:3, 27:57:3:3, 28:57:3:3, 29:57:3:3, 30:57:3:3, 31:57:3:1, -31:57:4:1, -30:57:4:1,
  -29:57:4:1, -28:57:4:1, -27:57:4:1, 26:57:4:1, 27:57:4:1, 28:57:4:1, 29:57:4:1,
  30:57:4:1, -8:57:5:98, -7:57:5:98, -6:57:5:98, 6:57:5:98, 7:57:5:98, 8:57:5:98,
  -9:57:6:98, -5:57:6:98, 5:57:6:98, 7:57:6:50:4, 9:57:6:98, -9:57:7:98, -8:57:7:65:4,
  -7:57:7:17:1, -6:57:7:50:1, -5:57:7:98, 5:57:7:98, 7:57:7:17:1, 9:57:7:98, -25:57:8:15,
  -9:57:8:98, -5:57:8:98, 5:57:8:98, 7:57:8:65:3, 9:57:8:98, -25:57:9:1, -24:57:9:1,
  -8:57:9:98, -7:57:9:98, -6:57:9:98, 6:57:9:98, 7:57:9:98, 8:57:9:98, 18:57:9:15,
  19:57:9:1, -25:57:10:1, -24:57:10:15, 18:57:10:1, 19:57:10:1, 19:57:11:15, -23:57:17:1,
  -22:57:17:1, -21:57:17:1, -20:57:17:1, -19:57:17:1, 19:57:17:1, 20:57:17:1, 21:57:17:1,
  22:57:17:1, 23:57:17:1, -24:57:18:1, -23:57:18:3, -22:57:18:3, -21:57:18:3, -20:57:18:3,
  -19:57:18:3, -18:57:18:1, -10:57:18:15, 18:57:18:1, 19:57:18:3, 20:57:18:3, 21:57:18:3,
  22:57:18:3, 23:57:18:3, 24:57:18:1, -25:57:19:1, -24:57:19:3, -23:57:19:3, -22:57:19:3,
  -21:57:19:3, -20:57:19:3, -19:57:19:3, -18:57:19:3, -17:57:19:1, -10:57:19:1, -9:57:19:1,
  17:57:19:1, 18:57:19:3, 19:57:19:3, 20:57:19:3, 21:57:19:3, 22:57:19:3, 23:57:19:3,
  24:57:19:3, 25:57:19:1, -25:57:20:1, -24:57:20:3, -23:57:20:3, -22:57:20:3, -21:57:20:3,
  -20:57:20:3, -19:57:20:3, -18:57:20:3, -17:57:20:1, -10:57:20:1, -9:57:20:15, 17:57:20:1,
  18:57:20:3, 19:57:20:3, 20:57:20:3, 21:57:20:3, 22:57:20:3, 23:57:20:3, 24:57:20:3,
  25:57:20:1, -25:57:21:1, -24:57:21:3, -23:57:21:3, -22:57:21:3, -21:57:21:3, -20:57:21:3,
  -19:57:21:3, -18:57:21:3, -17:57:21:1, 17:57:21:1, 18:57:21:3, 19:57:21:3, 20:57:21:3,
  21:57:21:3, 22:57:21:3, 23:57:21:3, 24:57:21:3, 25:57:21:1, -25:57:22:1, -24:57:22:3,
  -23:57:22:3, -22:57:22:3, -21:57:22:3, -20:57:22:3, -19:57:22:3, -18:57:22:3, -17:57:22:1,
  9:57:22:1, 10:57:22:1, 11:57:22:15, 17:57:22:1, 18:57:22:3, 19:57:22:3, 20:57:22:3,
  21:57:22:3, 22:57:22:3, 23:57:22:3, 24:57:22:3, 25:57:22:1, -25:57:23:1, -24:57:23:3,
  -23:57:23:3, -22:57:23:3, -21:57:23:3, -20:57:23:3, -19:57:23:3, -18:57:23:3, -17:57:23:1,
  9:57:23:15, 10:57:23:1, 17:57:23:1, 18:57:23:3, 19:57:23:3, 20:57:23:3, 21:57:23:3,
  22:57:23:3, 23:57:23:3, 24:57:23:3, 25:57:23:1, -24:57:24:1, -23:57:24:3, -22:57:24:3,
  -21:57:24:3, -20:57:24:3, -19:57:24:3, -18:57:24:1, 18:57:24:1, 19:57:24:3, 20:57:24:3,
  21:57:24:3, 22:57:24:3, 23:57:24:3, 24:57:24:1, -23:57:25:1, -22:57:25:1, -21:57:25:1,
  -20:57:25:1, -19:57:25:1, -2:57:25:1, -1:57:25:1, 0:57:25:1, 1:57:25:1, 2:57:25:1,
  19:57:25:1, 20:57:25:1, 21:57:25:1, 22:57:25:1, 23:57:25:1, -3:57:26:1, -2:57:26:3,
  -1:57:26:3, 0:57:26:3, 1:57:26:3, 2:57:26:3, 3:57:26:1, -4:57:27:1, -3:57:27:3,
  -2:57:27:3, -1:57:27:3, 0:57:27:3, 1:57:27:3, 2:57:27:3, 3:57:27:3, 4:57:27:1, -4:57:28:1,
  -3:57:28:3, -2:57:28:3, -1:57:28:3, 0:57:28:3, 1:57:28:3, 2:57:28:3, 3:57:28:3,
  4:57:28:1, -4:57:29:1, -3:57:29:3, -2:57:29:3, -1:57:29:3, 0:57:29:3, 1:57:29:3,
  2:57:29:3, 3:57:29:3, 4:57:29:1, -4:57:30:1, -3:57:30:3, -2:57:30:3, -1:57:30:3,
  0:57:30:3, 1:57:30:3, 2:57:30:3, 3:57:30:3, 4:57:30:1, -4:57:31:1, -3:57:31:3, -2:57:31:3,
  -1:57:31:3, 0:57:31:3, 1:57:31:3, 2:57:31:3, 3:57:31:3, 4:57:31:1, -3:57:32:1, -2:57:32:3,
  -1:57:32:3, 0:57:32:3, 1:57:32:3, 2:57:32:3, 3:57:32:1, -2:57:33:1, -1:57:33:1,
  0:57:33:1, 1:57:33:1, 2:57:33:1, -2:58:-35:1, -1:58:-35:1, 0:58:-35:1, 1:58:-35:1,
  2:58:-35:1, -3:58:-34:1, -2:58:-34:3, -1:58:-34:3, 0:58:-34:3, 1:58:-34:3, 2:58:-34:3,
  3:58:-34:1, -4:58:-33:1, -3:58:-33:3, -2:58:-33:3, -1:58:-33:3, 0:58:-33:3, 1:58:-33:3,
  2:58:-33:3, 3:58:-33:3, 4:58:-33:1, -4:58:-32:1, -3:58:-32:3, -2:58:-32:3, -1:58:-32:3,
  0:58:-32:3, 1:58:-32:3, 2:58:-32:3, 3:58:-32:3, 4:58:-32:1, -4:58:-31:1, -3:58:-31:3,
  -2:58:-31:3, -1:58:-31:3, 0:58:-31:3, 1:58:-31:3, 2:58:-31:3, 3:58:-31:3, 4:58:-31:1,
  -4:58:-30:1, -3:58:-30:3, -2:58:-30:3, -1:58:-30:3, 0:58:-30:3, 1:58:-30:3, 2:58:-30:3,
  3:58:-30:3, 4:58:-30:1, -4:58:-29:1, -3:58:-29:3, -2:58:-29:3, -1:58:-29:3, 0:58:-29:3,
  1:58:-29:3, 2:58:-29:3, 3:58:-29:3, 4:58:-29:1, -3:58:-28:1, -2:58:-28:3, -1:58:-28:3,
  0:58:-28:3, 1:58:-28:3, 2:58:-28:3, 3:58:-28:1, -2:58:-27:1, -1:58:-27:1, 0:58:-27:1,
  1:58:-27:1, 2:58:-27:1, -23:58:-25:1, -22:58:-25:1, -21:58:-25:1, -20:58:-25:1,
  -19:58:-25:1, 19:58:-25:1, 20:58:-25:1, 21:58:-25:1, 22:58:-25:1, 23:58:-25:1, -24:58:-24:1,
  -23:58:-24:3, -22:58:-24:3, -21:58:-24:3, -20:58:-24:3, -19:58:-24:3, -18:58:-24:1,
  18:58:-24:1, 19:58:-24:3, 20:58:-24:3, 21:58:-24:3, 22:58:-24:3, 23:58:-24:3, 24:58:-24:1,
  -25:58:-23:1, -24:58:-23:3, -23:58:-23:3, -22:58:-23:3, -21:58:-23:3, -20:58:-23:3,
  -19:58:-23:3, -18:58:-23:3, -17:58:-23:1, 17:58:-23:1, 18:58:-23:3, 19:58:-23:3,
  20:58:-23:3, 21:58:-23:3, 22:58:-23:3, 23:58:-23:3, 24:58:-23:3, 25:58:-23:1, -25:58:-22:1,
  -24:58:-22:3, -23:58:-22:3, -22:58:-22:3, -21:58:-22:3, -20:58:-22:3, -19:58:-22:3,
  -18:58:-22:3, -17:58:-22:1, 17:58:-22:1, 18:58:-22:3, 19:58:-22:3, 20:58:-22:3,
  21:58:-22:3, 22:58:-22:3, 23:58:-22:3, 24:58:-22:3, 25:58:-22:1, -25:58:-21:1, -24:58:-21:3,
  -23:58:-21:3, -22:58:-21:3, -21:58:-21:3, -20:58:-21:3, -19:58:-21:3, -18:58:-21:3,
  -17:58:-21:1, 17:58:-21:1, 18:58:-21:3, 19:58:-21:3, 20:58:-21:3, 21:58:-21:3, 22:58:-21:3,
  23:58:-21:3, 24:58:-21:3, 25:58:-21:1, -25:58:-20:1, -24:58:-20:3, -23:58:-20:3,
  -22:58:-20:3, -21:58:-20:3, -20:58:-20:3, -19:58:-20:3, -18:58:-20:3, -17:58:-20:1,
  17:58:-20:1, 18:58:-20:3, 19:58:-20:3, 20:58:-20:3, 21:58:-20:3, 22:58:-20:3, 23:58:-20:3,
  24:58:-20:3, 25:58:-20:1, -25:58:-19:1, -24:58:-19:3, -23:58:-19:3, -22:58:-19:3,
  -21:58:-19:3, -20:58:-19:3, -19:58:-19:3, -18:58:-19:3, -17:58:-19:1, 17:58:-19:1,
  18:58:-19:3, 19:58:-19:3, 20:58:-19:3, 21:58:-19:3, 22:58:-19:3, 23:58:-19:3, 24:58:-19:3,
  25:58:-19:1, -24:58:-18:1, -23:58:-18:3, -22:58:-18:3, -21:58:-18:3, -20:58:-18:3,
  -19:58:-18:3, -18:58:-18:1, 18:58:-18:1, 19:58:-18:3, 20:58:-18:3, 21:58:-18:3,
  22:58:-18:3, 23:58:-18:3, 24:58:-18:1, -23:58:-17:1, -22:58:-17:1, -21:58:-17:1,
  -20:58:-17:1, -19:58:-17:1, 19:58:-17:1, 20:58:-17:1, 21:58:-17:1, 22:58:-17:1,
  23:58:-17:1, -8:58:-9:98, -7:58:-9:98, -6:58:-9:98, 6:58:-9:98, 7:58:-9:98, 8:58:-9:98,
  -9:58:-8:98, -7:58:-8:65:2, -5:58:-8:98, 5:58:-8:98, 9:58:-8:98, -9:58:-7:98, -7:58:-7:17:1,
  -5:58:-7:98, 5:58:-7:98, 7:58:-7:17:1, 8:58:-7:65:5, 9:58:-7:98, -9:58:-6:98, -5:58:-6:98,
  5:58:-6:98, 9:58:-6:98, -8:58:-5:98, -7:58:-5:98, -6:58:-5:98, 6:58:-5:98, 7:58:-5:98,
  8:58:-5:98, -31:58:-4:1, -30:58:-4:1, -29:58:-4:1, -28:58:-4:1, -27:58:-4:1, 26:58:-4:1,
  27:58:-4:1, 28:58:-4:1, 29:58:-4:1, 30:58:-4:1, -32:58:-3:1, -31:58:-3:3, -30:58:-3:3,
  -29:58:-3:3, -28:58:-3:3, -27:58:-3:3, -26:58:-3:1, -2:58:-3:3, -1:58:-3:3, 0:58:-3:3,
  1:58:-3:3, 2:58:-3:3, 25:58:-3:1, 26:58:-3:3, 27:58:-3:3, 28:58:-3:3, 29:58:-3:3,
  30:58:-3:3, 31:58:-3:1, -33:58:-2:1, -32:58:-2:3, -31:58:-2:3, -30:58:-2:3, -29:58:-2:3,
  -28:58:-2:3, -27:58:-2:3, -26:58:-2:3, -25:58:-2:1, -3:58:-2:3, -2:58:-2:3, -1:58:-2:3,
  0:58:-2:3, 1:58:-2:3, 2:58:-2:3, 3:58:-2:3, 24:58:-2:1, 25:58:-2:3, 26:58:-2:3,
  27:58:-2:3, 28:58:-2:3, 29:58:-2:3, 30:58:-2:3, 31:58:-2:3, 32:58:-2:1, -33:58:-1:1,
  -32:58:-1:3, -31:58:-1:3, -30:58:-1:3, -29:58:-1:3, -28:58:-1:3, -27:58:-1:3, -26:58:-1:3,
  -25:58:-1:1, -3:58:-1:3, -2:58:-1:3, -1:58:-1:3, 0:58:-1:3, 1:58:-1:3, 2:58:-1:3,
  3:58:-1:3, 24:58:-1:1, 25:58:-1:3, 26:58:-1:3, 27:58:-1:3, 28:58:-1:3, 29:58:-1:3,
  30:58:-1:3, 31:58:-1:3, 32:58:-1:1, -33:58:0:1, -32:58:0:3, -31:58:0:3, -30:58:0:3,
  -29:58:0:3, -28:58:0:3, -27:58:0:3, -26:58:0:3, -25:58:0:1, -3:58:0:3, -2:58:0:3,
  -1:58:0:3, 0:58:0:3, 1:58:0:3, 2:58:0:3, 3:58:0:3, 24:58:0:1, 25:58:0:3, 26:58:0:3,
  27:58:0:3, 28:58:0:3, 29:58:0:3, 30:58:0:3, 31:58:0:3, 32:58:0:1, -33:58:1:1, -32:58:1:3,
  -31:58:1:3, -30:58:1:3, -29:58:1:3, -28:58:1:3, -27:58:1:3, -26:58:1:3, -25:58:1:1,
  -3:58:1:3, -2:58:1:3, -1:58:1:3, 0:58:1:3, 1:58:1:3, 2:58:1:3, 3:58:1:3, 24:58:1:1,
  25:58:1:3, 26:58:1:3, 27:58:1:3, 28:58:1:3, 29:58:1:3, 30:58:1:3, 31:58:1:3, 32:58:1:1,
  -33:58:2:1, -32:58:2:3, -31:58:2:3, -30:58:2:3, -29:58:2:3, -28:58:2:3, -27:58:2:3,
  -26:58:2:3, -25:58:2:1, -3:58:2:3, -2:58:2:3, -1:58:2:3, 0:58:2:3, 1:58:2:3, 2:58:2:3,
  3:58:2:3, 24:58:2:1, 25:58:2:3, 26:58:2:3, 27:58:2:3, 28:58:2:3, 29:58:2:3, 30:58:2:3,
  31:58:2:3, 32:58:2:1, -32:58:3:1, -31:58:3:3, -30:58:3:3, -29:58:3:3, -28:58:3:3,
  -27:58:3:3, -26:58:3:1, -2:58:3:3, -1:58:3:3, 0:58:3:3, 1:58:3:3, 2:58:3:3, 25:58:3:1,
  26:58:3:3, 27:58:3:3, 28:58:3:3, 29:58:3:3, 30:58:3:3, 31:58:3:1, -31:58:4:1, -30:58:4:1,
  -29:58:4:1, -28:58:4:1, -27:58:4:1, 26:58:4:1, 27:58:4:1, 28:58:4:1, 29:58:4:1,
  30:58:4:1, -8:58:5:98, -7:58:5:98, -6:58:5:98, 6:58:5:98, 7:58:5:98, 8:58:5:98,
  -9:58:6:98, -5:58:6:98, 5:58:6:98, 9:58:6:98, -9:58:7:98, -8:58:7:65:4, -7:58:7:17:1,
  -5:58:7:98, 5:58:7:98, 7:58:7:17:1, 9:58:7:98, -9:58:8:98, -5:58:8:98, 5:58:8:98,
  7:58:8:65:3, 9:58:8:98, -8:58:9:98, -7:58:9:98, -6:58:9:98, 6:58:9:98, 7:58:9:98,
  8:58:9:98, -23:58:17:1, -22:58:17:1, -21:58:17:1, -20:58:17:1, -19:58:17:1, 19:58:17:1,
  20:58:17:1, 21:58:17:1, 22:58:17:1, 23:58:17:1, -24:58:18:1, -23:58:18:3, -22:58:18:3,
  -21:58:18:3, -20:58:18:3, -19:58:18:3, -18:58:18:1, 18:58:18:1, 19:58:18:3, 20:58:18:3,
  21:58:18:3, 22:58:18:3, 23:58:18:3, 24:58:18:1, -25:58:19:1, -24:58:19:3, -23:58:19:3,
  -22:58:19:3, -21:58:19:3, -20:58:19:3, -19:58:19:3, -18:58:19:3, -17:58:19:1, 17:58:19:1,
  18:58:19:3, 19:58:19:3, 20:58:19:3, 21:58:19:3, 22:58:19:3, 23:58:19:3, 24:58:19:3,
  25:58:19:1, -25:58:20:1, -24:58:20:3, -23:58:20:3, -22:58:20:3, -21:58:20:3, -20:58:20:3,
  -19:58:20:3, -18:58:20:3, -17:58:20:1, 17:58:20:1, 18:58:20:3, 19:58:20:3, 20:58:20:3,
  21:58:20:3, 22:58:20:3, 23:58:20:3, 24:58:20:3, 25:58:20:1, -25:58:21:1, -24:58:21:3,
  -23:58:21:3, -22:58:21:3, -21:58:21:3, -20:58:21:3, -19:58:21:3, -18:58:21:3, -17:58:21:1,
  17:58:21:1, 18:58:21:3, 19:58:21:3, 20:58:21:3, 21:58:21:3, 22:58:21:3, 23:58:21:3,
  24:58:21:3, 25:58:21:1, -25:58:22:1, -24:58:22:3, -23:58:22:3, -22:58:22:3, -21:58:22:3,
  -20:58:22:3, -19:58:22:3, -18:58:22:3, -17:58:22:1, 17:58:22:1, 18:58:22:3, 19:58:22:3,
  20:58:22:3, 21:58:22:3, 22:58:22:3, 23:58:22:3, 24:58:22:3, 25:58:22:1, -25:58:23:1,
  -24:58:23:3, -23:58:23:3, -22:58:23:3, -21:58:23:3, -20:58:23:3, -19:58:23:3, -18:58:23:3,
  -17:58:23:1, 17:58:23:1, 18:58:23:3, 19:58:23:3, 20:58:23:3, 21:58:23:3, 22:58:23:3,
  23:58:23:3, 24:58:23:3, 25:58:23:1, -24:58:24:1, -23:58:24:3, -22:58:24:3, -21:58:24:3,
